"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.58069434316234,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",3.20846256237676,"vacc","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc","all","all",NA,1,0.1,0,17
"dp","all",0.563702433979052,"vacc","all","all",NA,0,0.1,0,1
"ts","all",7.39275799668665,"vacc","all","all",NA,0,0.1,0,30
"m","all",0.291197490009432,"vacc","all","all",NA,0,0.1,0,10
"mu","all",10.0076731346446,"infection","all","all",NA,0,0.1,0,15
"tp","all",12,"infection","all","all",NA,1,0.1,0,17
"dp","all",0.510001946383806,"infection","all","all",NA,0,0.1,0,1
"ts","all",17.4111777696116,"infection","all","all",NA,0,0.1,0,30
"m","all",0.044718103673148,"infection","all","all",NA,0,0.1,0,10
"mu","all",5.26570475499417,"adj","all","all",NA,0,0.1,0,15
"tp","all",12,"adj","all","all",NA,1,0.1,0,17
"dp","all",0.820227825464857,"adj","all","all",NA,0,0.1,0,1
"ts","all",16.0232402857525,"adj","all","all",NA,0,0.1,0,30
"m","all",1,"adj","all","all",NA,0,0.1,0,10
"beta","all",0.917648006697755,"all",NA,NA,NA,0,0.1,0,100
"c","all",8.43756580982296,"all",NA,NA,NA,0,0.1,0,20
"sigma","all",1.45190404333955,"all",NA,NA,NA,0,0.1,0,100
"y0_mod","all",0.150588107395143,"all",NA,NA,NA,0,0.1,0,1
"boost_limit","all",0.00149958039688691,"all",NA,NA,NA,0,0.1,0,12
"tau","all",0.331878195876265,"all",NA,NA,NA,0,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
