"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.56073736410901,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",3.94196576628703,"vacc","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc","all","all",NA,1,0.1,0,17
"dp","all",0.950632929572557,"vacc","all","all",NA,0,0.1,0,1
"ts","all",15.6324720756875,"vacc","all","all",NA,0,0.1,0,30
"m","all",1,"vacc","all","all",NA,0,0.1,0,10
"mu","all",6.82287856286217,"infection","all","all",NA,0,0.1,0,15
"tp","all",12,"infection","all","all",NA,1,0.1,0,17
"dp","all",0.0491156447063927,"infection","all","all",NA,0,0.1,0,1
"ts","all",16.7142326146574,"infection","all","all",NA,0,0.1,0,30
"m","all",0.086807607600198,"infection","all","all",NA,0,0.1,0,10
"mu","all",5.4688871671213,"adj","all","all",NA,0,0.1,0,15
"tp","all",12,"adj","all","all",NA,1,0.1,0,17
"dp","all",0.0912243777884918,"adj","all","all",NA,0,0.1,0,1
"ts","all",15.5022173407604,"adj","all","all",NA,0,0.1,0,30
"m","all",1,"adj","all","all",NA,0,0.1,0,10
"beta","all",0.629679879956298,"all",NA,NA,NA,0,0.1,0,100
"c","all",6.02604728852777,"all",NA,NA,NA,0,0.1,0,20
"sigma","all",1,"infection",NA,NA,NA,1,0.1,0,100
"sigma","all",3.03229457251859,"vacc",NA,NA,NA,0,0.1,0,100
"sigma","all",1.79602066280018,"adj",NA,NA,NA,0,0.1,0,100
"y0_mod","all",0.0937294963649825,"all",NA,NA,NA,0,0.1,0,1
"boost_limit","all",11.3547146419249,"all",NA,NA,NA,0,0.1,0,12
"tau","all",0.0786299814601085,"all",NA,NA,NA,0,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
