"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",2.03730819539564,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",6.16180974002212,"vacc1","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0.503927707980045,"vacc1","all","all",NA,0,0.1,0,1
"ts","all",4.01501976440494,"vacc1","all","all",NA,0,0.1,0,30
"m","all",1,"vacc1","all","all",NA,0,0.1,0,10
"mu","all",3.39066357217571,"vacc2","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0.881065160203973,"vacc2","all","all",NA,0,0.1,0,1
"ts","all",0.132505016618598,"vacc2","all","all",NA,0,0.1,0,30
"m","all",0.107673955483893,"vacc2","all","all",NA,0,0.1,0,10
"mu","all",4.69299193139659,"infection2","all","all",NA,0,0.1,0,15
"tp","all",12,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0.0821546126717041,"infection2","all","all",NA,0,0.1,0,1
"ts","all",23.7837941385793,"infection2","all","all",NA,0,0.1,0,30
"m","all",1,"infection2","all","all",NA,0,0.1,0,10
"mu","all",4.40507818034481,"adj1","all","all",NA,0,0.1,0,15
"tp","all",12,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0.264306959883638,"adj1","all","all",NA,0,0.1,0,1
"ts","all",29.2276723007523,"adj1","all","all",NA,0,0.1,0,30
"m","all",1,"adj1","all","all",NA,0,0.1,0,10
"mu","all",9.49467958507238,"adj2","all","all",NA,0,0.1,0,15
"tp","all",12,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0.669757421827523,"adj2","all","all",NA,0,0.1,0,1
"ts","all",1.66400199908264,"adj2","all","all",NA,0,0.1,0,30
"m","all",0.0166039622394728,"adj2","all","all",NA,0,0.1,0,10
"mu","all",8.54189039420643,"infection1","all","all",NA,0,0.1,0,15
"tp","all",12,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0.179518376071491,"infection1","all","all",NA,0,0.1,0,1
"ts","all",16.6650164664988,"infection1","all","all",NA,0,0.1,0,30
"m","all",0.117387166349884,"infection1","all","all",NA,0,0.1,0,10
"beta","all",0.6,"all",NA,NA,NA,1,0.1,0,100
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",2.57844906603944,"vacc1",NA,NA,NA,0,0.1,0,100
"sigma","all",46.5561110671084,"vacc2",NA,NA,NA,0,0.1,0,100
"sigma","all",1.53785448866114,"adj1",NA,NA,NA,0,0.1,0,100
"sigma","all",1.40128680287821,"adj2",NA,NA,NA,0,0.1,0,100
"sigma","all",1,"infection1",NA,NA,NA,1,0.1,0,100
"sigma","all",1.17359015541922,"infection2",NA,NA,NA,0,0.1,0,100
"y0_mod","all",0.00103899394257996,"all",NA,NA,NA,0,0.1,0,1
"boost_limit","all",5.47131189606164,"all",NA,NA,NA,0,0.1,0,12
"tau","all",0,"all",NA,NA,NA,1,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,15
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,15
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,15
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,15
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
