"0","7","14","21","28","35","42","49","56","63","70"
2,0,0,0,0,1,0,2,0,0,2
0,0,0,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,2,0,4,4,0,3
0,0,2,0,0,0,1,2,0,3,4
0,0,0,0,3,0,0,4,2,0,3
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,3,1
0,1,0,0,2,2,2,3,1,1,0
1,0,0,0,0,1,2,5,3,6,5
0,0,1,1,1,1,2,4,2,10,8
3,0,0,0,0,1,2,2,1,8,4
0,0,2,0,0,0,3,0,0,9,5
1,0,2,1,0,0,2,0,0,11,3
0,1,0,0,0,2,0,3,0,8,4
1,0,1,0,0,0,0,0,0,0,0
0,0,3,1,1,0,0,0,0,0,0
0,0,0,0,1,4,1,0,0,0,1
1,0,1,0,0,1,1,7,7,4,5
0,0,2,0,0,0,0,6,2,6,2
0,0,0,1,0,2,0,7,5,4,5
0,0,2,1,1,1,0,6,5,4,4
2,0,2,3,0,0,1,4,4,6,4
1,0,0,0,1,0,0,4,5,3,5
0,5,0,0,0,2,0,4,6,9,6
1,0,1,0,0,3,1,8,6,9,7
0,0,0,1,0,0,0,6,6,8,7
0,0,0,1,0,0,0,5,3,12,8
0,0,0,0,0,0,0,4,4,10,10
0,1,0,0,2,0,2,2,1,12,7
0,4,5,5,5,5,4,8,4,3,5
0,7,7,7,4,8,5,8,5,5,7
0,7,7,7,7,6,6,7,7,8,6
0,0,0,1,0,4,7,9,7,4,4
1,0,1,0,1,5,3,6,5,5,4
0,2,0,0,0,4,7,5,4,6,5
0,1,0,2,0,6,5,6,5,3,6
0,0,0,0,0,3,6,7,3,1,5
0,1,0,0,0,1,5,7,2,1,5
0,0,1,0,0,4,5,9,6,12,7
0,0,1,0,0,5,7,8,6,11,7
0,1,0,0,0,5,4,9,2,12,8
0,0,1,0,0,1,0,6,2,7,6
0,1,1,1,1,1,1,4,0,10,6
2,3,2,0,2,2,2,5,1,10,5
1,6,6,3,8,6,6,9,8,7,4
1,5,5,9,6,6,5,5,8,7,6
0,4,8,6,5,7,4,6,5,5,8
0,0,0,0,1,4,0,12,8,10,5
0,0,0,0,0,6,0,7,7,7,8
0,2,0,0,0,3,0,11,8,6,5
1,0,0,3,0,6,2,12,6,7,9
1,0,1,0,0,5,0,10,8,9,6
0,1,1,0,0,3,2,12,5,8,11
1,0,0,0,0,3,1,12,6,12,11
3,0,0,0,0,4,3,12,6,12,12
0,1,0,0,0,4,1,12,7,12,9
0,0,0,0,0,0,0,7,4,12,12
1,0,0,0,0,0,0,9,3,12,11
0,0,0,0,1,1,0,11,4,12,11
0,6,5,3,5,2,2,3,2,0,2
0,4,9,9,7,3,3,2,4,3,1
1,4,9,3,5,3,5,3,1,2,1
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,2,0,0,0,0,0,1
2,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,5,4
0,0,0,0,0,0,2,0,2,4,3
0,0,2,0,0,0,0,0,1,4,2
0,0,2,0,0,0,0,1,1,6,5
0,1,0,0,0,1,0,0,0,6,3
1,3,0,1,0,0,1,0,0,8,5
