"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.52312839247435,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",3.63409018095771,"vacc1","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0,"vacc1","all","all",NA,1,0.1,0,1
"ts","all",0,"vacc1","all","all",NA,1,0.1,0,30
"m","all",1,"vacc1","all","all",NA,0,0.1,0,10
"mu","all",3.51751067949018,"vacc2","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0,"vacc2","all","all",NA,1,0.1,0,1
"ts","all",0,"vacc2","all","all",NA,1,0.1,0,30
"m","all",0.276733766806422,"vacc2","all","all",NA,0,0.1,0,10
"mu","all",10.2085946469214,"infection2","all","all",NA,0,0.1,0,15
"tp","all",12,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0,"infection2","all","all",NA,1,0.1,0,1
"ts","all",0,"infection2","all","all",NA,1,0.1,0,30
"m","all",1,"infection2","all","all",NA,0,0.1,0,10
"mu","all",3.28439190937559,"adj1","all","all",NA,0,0.1,0,15
"tp","all",12,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0,"adj1","all","all",NA,1,0.1,0,1
"ts","all",0,"adj1","all","all",NA,1,0.1,0,30
"m","all",0.0973807491789106,"adj1","all","all",NA,0,0.1,0,10
"mu","all",11.0413798307877,"adj2","all","all",NA,0,0.1,0,15
"tp","all",12,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0,"adj2","all","all",NA,1,0.1,0,1
"ts","all",0,"adj2","all","all",NA,1,0.1,0,30
"m","all",0.258782828661838,"adj2","all","all",NA,0,0.1,0,10
"mu","all",7.41723091932758,"infection1","all","all",NA,0,0.1,0,15
"tp","all",12,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0,"infection1","all","all",NA,1,0.1,0,1
"ts","all",0,"infection1","all","all",NA,1,0.1,0,30
"m","all",0.0827809658940634,"infection1","all","all",NA,0,0.1,0,10
"beta","all",0.183916181011801,"all",NA,NA,NA,0,0.1,0,100
"c","all",5.95934719374888,"all",NA,NA,NA,0,0.1,0,20
"sigma","all",2.0586804525399,"all",NA,NA,NA,0,0.1,0,100
"y0_mod","all",0.0820137057163336,"all",NA,NA,NA,0,0.1,0,1
"boost_limit","all",11.7986540089981,"all",NA,NA,NA,0,0.1,0,12
"tau","all",0,"all",NA,NA,NA,1,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
