"0","7","14","21","28","35","42","49","56","63","70"
0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,2,0,0,0,0,0,0
0,6,0,0,0,3,0,0,0,2,1
0,0,0,0,0,2,1,0,2,0,0
0,0,0,1,2,0,1,1,3,0,0
0,0,0,0,0,2,1,0,3,0,0
2,0,2,1,0,2,0,0,2,2,0
0,0,1,2,0,3,0,3,0,4,0
1,0,1,0,0,0,0,2,4,0,0
0,0,2,0,0,0,0,4,4,4,5
0,1,0,0,1,1,0,2,2,5,6
0,0,0,0,0,1,1,2,2,6,7
0,0,0,1,0,0,0,0,0,4,7
0,1,0,1,0,0,1,0,0,7,8
0,0,0,1,1,1,1,1,0,5,8
2,0,0,0,2,0,0,0,0,0,2
0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,2,0,0,1,1,7,8,6,2
0,0,0,0,0,0,0,8,6,6,4
0,0,2,0,1,1,1,6,8,4,3
0,0,0,2,0,0,0,8,9,7,6
2,1,0,0,0,0,0,5,9,7,5
3,0,0,1,1,0,1,8,7,9,8
0,1,0,0,0,2,3,7,10,9,8
0,0,0,0,2,1,0,9,8,12,11
1,0,0,1,0,2,2,6,9,10,5
0,0,0,0,0,0,2,5,9,7,8
0,0,0,1,0,0,0,3,8,9,9
2,0,1,0,0,0,0,4,6,6,8
0,5,8,4,3,5,6,8,7,6,4
0,3,8,7,6,8,5,7,9,3,2
1,5,8,4,7,4,4,6,9,7,2
3,2,1,1,0,3,4,10,7,6,4
0,0,0,0,0,4,5,11,11,8,6
0,0,0,1,0,7,7,9,10,7,6
0,0,0,2,0,5,7,7,10,10,5
1,0,0,1,0,2,4,5,10,7,3
0,0,0,0,2,4,4,6,10,6,7
0,0,1,0,0,6,9,9,10,9,10
0,0,1,0,0,2,6,9,9,11,8
0,1,1,1,1,4,3,10,12,12,6
0,0,0,0,0,2,5,6,8,10,10
0,3,0,0,0,4,3,5,7,12,7
1,2,0,0,0,3,6,7,8,9,9
0,4,10,5,8,5,8,7,10,7,3
0,3,9,2,3,8,9,10,10,7,1
4,5,8,8,5,7,6,9,10,11,3
0,0,0,1,0,2,9,12,12,9,7
1,0,0,0,0,3,7,7,12,11,7
0,0,0,0,1,5,8,10,9,10,7
0,0,0,0,0,2,10,10,12,10,7
0,0,0,0,0,2,8,10,12,12,10
0,0,0,0,0,1,7,12,12,12,8
2,0,1,1,0,7,8,8,12,12,12
0,0,0,0,0,2,12,9,11,9,8
2,0,0,0,1,1,8,10,8,12,11
0,1,0,0,0,3,2,8,11,11,8
0,0,0,0,0,1,7,10,11,11,8
0,0,0,0,0,2,5,10,12,12,7
0,1,10,4,6,8,3,4,4,3,2
0,2,8,6,6,6,4,3,3,2,4
0,3,8,6,6,3,3,4,1,1,3
0,0,0,0,0,0,1,0,0,1,0
2,1,2,0,0,1,0,2,0,0,0
0,4,0,0,0,0,0,0,0,1,1
0,0,1,0,0,2,0,3,0,0,2
0,0,0,0,0,0,2,0,2,0,0
0,0,1,1,2,0,1,0,0,0,0
2,0,0,2,1,1,0,0,1,2,4
0,1,0,1,0,0,2,0,1,3,4
2,0,0,1,1,0,0,0,0,0,5
0,0,0,0,0,0,3,0,2,4,8
0,1,0,1,0,0,0,0,1,2,8
1,0,0,0,0,0,0,0,0,4,8
