"0","7","14","21","28","35","42","49","56","63","70"
0,0,1,0,1,1,2,0,0,0,0
0,0,0,2,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,0,2,2,1
1,0,0,0,0,2,2,0,1,2,1
0,0,0,0,0,1,1,1,0,0,1
1,1,0,0,1,0,0,5,4,0,1
0,0,2,1,0,1,0,2,4,3,0
0,0,0,0,0,0,0,3,4,1,2
1,0,0,0,0,2,2,2,6,8,8
1,0,0,0,0,2,1,4,4,9,8
0,0,3,1,1,1,1,5,5,8,9
0,0,0,0,1,0,0,0,0,6,8
0,0,0,1,0,1,0,0,0,7,8
0,0,0,0,0,1,0,0,1,8,8
0,0,0,0,0,0,0,0,2,0,0
1,1,0,2,1,0,3,1,2,0,0
0,0,0,1,0,1,1,0,0,2,0
0,0,0,1,0,0,3,8,8,9,3
0,0,0,0,0,2,0,8,11,7,5
1,0,0,0,0,4,3,6,9,7,3
0,0,0,0,0,0,0,8,9,3,3
0,0,0,0,0,0,0,6,10,4,6
1,0,0,0,0,0,1,7,12,6,7
1,1,0,0,0,1,4,8,12,11,10
2,0,0,0,0,0,4,6,10,11,12
1,0,0,0,0,3,4,4,12,11,11
1,0,0,0,0,0,0,6,6,10,9
1,0,0,0,0,0,0,5,6,9,9
0,0,0,0,0,2,0,4,7,9,8
0,4,6,5,2,4,5,3,9,6,6
0,5,4,5,5,7,5,7,11,5,6
0,4,5,6,4,4,1,4,6,6,9
0,0,0,1,4,6,7,8,9,6,8
0,0,0,0,0,4,8,9,9,9,6
1,0,0,0,0,4,8,8,8,9,8
0,0,0,0,0,0,6,9,10,7,4
2,0,1,1,0,3,3,10,8,9,6
1,1,0,0,2,6,6,10,12,6,4
0,0,0,0,0,3,8,7,10,12,11
0,0,0,0,1,7,7,10,9,11,11
0,1,0,0,0,4,7,8,9,10,9
0,0,1,0,0,3,2,4,6,9,6
0,1,0,0,0,4,1,6,7,9,10
0,0,0,0,0,2,2,6,4,9,10
0,2,6,5,3,6,6,7,8,9,7
1,4,5,6,4,8,7,7,7,8,5
1,2,7,8,4,6,9,6,9,9,4
0,0,3,1,1,1,9,12,12,10,8
0,2,0,0,0,3,8,10,12,10,8
0,0,0,0,0,5,7,12,11,10,8
0,0,0,1,0,2,6,10,12,9,8
0,0,0,0,2,2,6,10,12,12,8
0,0,1,0,0,1,5,11,12,10,9
2,0,0,1,0,4,6,9,12,12,12
0,0,0,0,0,4,8,12,11,12,12
0,0,0,0,0,6,9,12,12,12,12
0,0,0,1,0,2,5,8,12,12,12
0,0,0,1,0,1,1,7,11,12,12
0,0,0,0,0,0,3,10,12,11,12
2,4,6,8,2,4,5,5,3,3,3
1,3,6,6,4,6,1,5,3,0,0
0,5,3,6,4,5,4,2,0,2,0
0,0,0,0,3,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,2
0,0,0,0,0,2,1,0,1,0,0
1,0,0,0,2,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,7,5
1,0,0,0,1,1,0,0,0,4,5
1,2,0,0,0,1,0,0,0,4,5
0,0,0,0,0,2,0,1,0,7,9
0,0,0,0,0,0,0,0,0,7,7
0,0,1,1,0,1,0,0,0,7,9
