"0","7","14","21","28","35","42","49","56","63","70"
0,1,0,0,0,0,0,0,1,0,2
0,0,1,1,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,1,0,1
1,0,3,2,0,3,3,2,5,0,0
0,0,0,0,0,1,3,2,4,2,0
0,0,0,1,1,3,3,2,1,0,0
0,0,1,1,0,1,0,3,0,4,0
0,1,2,0,0,2,1,0,1,2,0
1,0,0,0,0,4,1,2,0,2,0
0,0,0,0,1,0,0,4,3,7,3
0,1,2,0,0,3,4,1,4,5,4
3,0,1,1,0,4,1,2,4,6,5
1,0,1,1,1,0,0,0,1,4,4
0,0,0,0,0,0,0,0,0,3,6
0,0,0,0,1,0,0,0,2,6,4
0,0,0,2,0,0,0,1,1,1,0
0,0,0,1,0,0,0,2,0,0,0
0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,6,1,3,7
0,0,0,0,1,1,1,8,4,5,6
0,0,0,0,0,0,0,8,4,6,4
0,0,0,0,0,0,0,7,5,6,4
1,0,0,1,0,0,1,5,1,4,2
0,1,0,0,0,0,0,8,4,5,3
0,0,0,1,0,0,1,9,5,8,11
1,1,0,2,1,0,0,7,6,12,7
0,0,2,0,1,1,0,8,6,5,9
0,3,0,0,0,0,0,5,2,7,8
0,1,0,0,2,0,0,4,4,7,9
1,1,1,2,0,0,0,4,2,6,6
0,2,10,8,7,5,5,6,6,5,3
0,3,8,7,6,5,7,10,5,5,6
0,6,9,5,6,7,4,5,4,7,4
0,0,0,1,0,6,6,5,7,7,2
0,0,2,0,0,6,7,7,7,3,5
1,0,0,0,0,6,7,9,4,2,8
0,1,0,0,0,4,5,11,5,6,5
1,2,0,0,0,3,5,11,6,7,4
0,0,0,0,0,3,5,9,5,2,2
0,1,0,2,0,4,5,10,6,9,7
1,1,0,0,1,5,6,8,7,9,10
0,1,2,1,0,5,7,10,6,8,8
1,0,1,1,0,5,1,2,4,7,5
0,1,0,0,0,1,3,6,5,4,4
0,0,0,0,0,0,4,6,1,7,5
2,3,5,7,6,5,5,6,6,8,8
0,5,10,5,4,7,5,5,9,7,7
0,6,11,8,8,5,5,9,6,6,9
2,1,1,0,0,2,1,10,9,7,10
1,0,0,0,2,4,6,12,10,5,8
0,0,0,0,0,4,2,12,9,7,8
0,0,0,1,0,2,6,7,7,6,7
0,0,0,0,0,2,2,9,5,9,6
0,1,0,1,1,5,2,9,8,9,9
0,0,0,0,1,3,2,11,7,11,9
0,1,0,0,0,2,3,8,7,11,9
0,0,1,0,0,6,2,12,9,9,12
0,0,1,0,0,3,2,4,5,5,9
0,0,0,0,0,1,0,8,6,8,9
1,1,0,0,0,3,3,7,4,7,8
0,5,9,6,4,3,7,4,1,0,2
0,6,9,7,7,5,1,6,3,1,4
0,5,5,7,5,4,1,3,3,0,2
0,1,0,0,2,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,0
0,1,2,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,4,5
1,1,0,0,0,0,3,0,0,4,5
2,1,0,0,2,0,0,0,2,2,4
0,2,2,1,1,0,1,0,0,6,7
4,1,0,2,0,0,0,0,0,4,7
1,0,1,0,0,0,0,3,0,8,7
