"0","7","14","21","28","35","42","49","56","63","70"
0,1,2,0,0,0,0,0,0,3,0
2,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,2,0
0,0,0,2,0,3,0,3,3,4,0
0,1,0,0,0,5,0,3,7,2,0
0,0,0,0,1,2,3,2,2,2,0
0,0,0,0,0,3,0,2,1,0,0
0,2,0,0,0,0,0,2,4,3,0
0,0,0,0,0,1,4,0,5,0,0
0,0,0,0,0,4,0,3,5,6,5
0,0,2,0,0,0,0,4,5,9,3
0,0,1,1,1,0,1,4,5,7,6
0,2,0,0,0,1,0,0,2,6,6
0,2,0,0,0,1,0,0,0,7,8
1,0,0,0,0,0,0,0,0,7,5
0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,1,0,0,0,0,0,0
0,1,0,1,2,1,2,2,0,0,0
0,0,0,0,2,0,3,7,9,4,4
1,0,0,0,1,0,1,4,5,6,5
2,1,0,0,0,0,0,5,8,7,4
0,2,0,2,0,0,1,8,10,6,4
1,0,0,0,1,0,1,7,8,5,4
2,0,0,0,0,0,1,7,8,7,5
1,0,0,0,0,2,1,8,10,9,10
0,0,0,0,0,1,1,12,10,11,8
4,0,0,0,0,0,0,11,10,12,9
0,0,0,0,0,0,1,3,5,8,9
0,0,0,0,0,0,0,5,9,8,7
0,0,0,0,0,0,0,7,5,10,9
0,6,4,6,4,7,4,5,7,7,6
0,6,8,5,5,6,4,5,4,6,5
2,2,10,4,7,5,2,6,6,4,6
0,0,0,0,3,4,4,8,7,8,5
0,0,0,0,0,5,9,7,10,9,6
0,0,0,0,0,5,4,10,6,7,6
0,0,0,0,3,4,3,7,10,8,6
0,0,0,0,0,5,4,8,12,5,5
0,0,0,0,1,2,6,8,6,8,3
0,0,0,0,0,5,6,11,9,9,10
0,0,0,0,0,5,9,8,7,9,10
0,0,0,1,0,2,5,8,12,11,9
0,1,0,0,0,0,2,4,5,9,9
0,1,0,0,1,1,0,4,7,9,8
0,0,0,0,1,4,5,4,8,11,10
2,1,7,7,8,6,5,7,6,7,4
0,4,8,6,5,5,7,7,7,6,6
0,5,7,8,8,6,7,8,9,9,5
0,0,2,0,0,3,8,8,10,9,9
0,1,0,0,0,4,8,12,9,9,8
0,0,0,0,0,6,8,8,9,9,11
0,0,0,0,0,2,4,10,11,10,10
3,0,1,0,0,3,5,9,12,10,7
0,2,0,0,1,3,8,9,10,8,10
0,0,0,1,0,6,9,8,11,12,12
0,0,0,0,0,2,10,11,10,11,11
0,0,2,0,0,3,7,12,11,11,9
0,1,0,0,0,5,4,10,11,10,10
0,0,0,0,0,2,3,10,11,10,10
2,0,2,1,2,5,5,10,9,9,10
0,3,6,6,7,3,6,2,4,4,3
1,4,11,4,6,5,3,5,1,2,0
0,3,6,9,7,6,2,3,3,1,0
1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,2,1,0,0,1,0
0,1,0,1,0,0,0,2,0,0,0
0,0,0,3,1,0,2,1,0,0,0
2,0,0,0,0,0,0,0,1,1,0
1,0,1,0,2,0,1,0,3,0,0
0,0,1,1,0,0,0,2,0,6,4
0,0,0,0,0,0,0,0,0,6,7
1,1,0,0,3,0,0,0,0,8,7
0,0,1,0,0,1,0,0,0,10,8
0,0,1,0,0,0,0,0,0,5,6
0,0,1,0,0,0,0,2,0,9,6
