"0","7","14","21","28","35","42","49","56","63","70"
1,1,0,2,1,0,0,3,0,1,0
0,1,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,2,4,3,3,4,1
0,0,0,0,0,1,4,3,1,2,0
0,0,0,0,0,1,5,3,2,4,2
1,2,2,1,2,0,2,3,0,0,0
1,0,2,2,2,2,0,1,0,0,0
2,0,0,0,0,1,1,0,1,0,0
0,0,0,1,1,0,4,3,2,5,4
0,2,0,0,0,0,0,3,2,5,8
0,0,0,0,0,0,2,5,5,8,7
0,0,1,0,0,0,1,0,0,4,5
0,0,0,0,0,2,0,0,0,6,7
2,0,0,0,0,1,0,1,0,6,6
0,0,0,0,0,4,0,0,0,0,0
3,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,1,0,0,1,0,0
1,0,0,1,0,0,5,10,7,6,6
0,0,0,0,1,0,3,9,10,4,3
0,0,0,0,0,1,4,7,8,6,5
0,1,0,0,0,0,0,6,9,6,4
1,0,0,0,0,1,0,6,9,2,4
0,0,0,0,0,1,0,7,11,5,6
0,0,0,0,1,0,2,7,9,9,9
0,1,3,0,1,1,2,5,9,10,9
1,1,0,0,0,1,3,7,6,12,9
0,0,0,1,0,1,0,6,4,9,10
0,0,1,0,0,0,0,3,6,10,6
1,0,0,0,0,1,0,7,4,5,10
0,3,6,3,5,7,7,8,6,5,5
1,3,8,5,5,6,9,9,4,4,6
0,2,4,4,5,7,7,7,8,2,7
0,0,0,1,2,6,9,9,8,6,4
0,0,1,0,0,6,9,8,10,9,6
0,0,0,0,1,6,10,7,10,7,8
1,0,0,0,0,5,6,10,4,5,5
1,0,2,0,0,0,8,9,6,4,6
0,0,1,2,0,3,9,9,7,6,5
2,2,0,0,0,2,10,10,9,8,7
0,0,1,0,1,3,9,10,9,11,8
2,0,3,0,0,6,9,11,9,9,8
0,0,0,0,0,1,4,6,4,8,7
0,0,1,0,0,1,3,5,4,8,6
1,0,0,0,0,2,6,8,3,8,7
0,4,6,6,6,5,7,9,8,7,5
0,4,5,5,5,8,8,9,8,8,7
0,4,6,4,6,6,6,9,6,8,5
0,0,0,0,0,6,7,10,11,11,7
0,1,1,0,0,5,8,12,12,10,9
0,0,0,0,0,4,8,10,12,10,9
0,0,1,1,0,3,4,12,9,10,8
1,1,0,1,0,2,5,11,11,10,8
0,0,0,0,2,1,4,12,11,9,9
0,0,0,0,0,6,6,10,11,9,11
1,2,0,0,0,5,10,12,12,12,12
0,0,0,0,0,5,8,12,11,12,10
0,0,0,0,0,0,4,10,12,12,8
0,0,1,0,1,2,1,8,9,6,10
2,2,0,0,2,2,2,10,10,12,10
0,2,8,5,5,6,4,4,4,1,1
0,5,8,6,3,5,3,2,0,1,0
0,7,4,7,7,6,5,5,4,3,0
0,0,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,2,1
1,0,1,1,0,1,0,0,2,1,1
0,1,3,0,0,0,0,0,0,0,0
1,1,2,0,2,0,1,0,0,2,0
0,1,3,2,0,2,0,0,0,0,0
0,0,2,1,0,0,0,0,0,4,5
0,0,0,0,1,0,0,0,0,5,4
0,0,0,0,0,0,0,2,0,6,5
0,0,1,0,0,0,0,0,0,6,6
0,0,0,0,0,0,0,1,0,8,4
0,0,0,0,0,0,0,1,0,7,6
