"0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54","57","60","63","66","69"
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,0,0,0,2,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
0,1,2,2,0,0,0,1,0,0,1,0,1,3,3,4,0,3,2,0,2,0,0,0
1,0,0,0,0,2,2,0,1,0,1,0,0,2,3,2,2,1,4,2,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,2,4,3,1,4,0,1,1,1,0,2,1
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,3,3,0,0,0
0,0,0,0,3,0,0,0,0,1,0,2,2,0,0,0,5,2,1,4,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,4,7,3,6,4,2,7,6,8
1,1,0,0,0,0,1,0,0,0,0,2,0,2,1,1,2,2,3,4,5,8,6,6
0,0,2,3,0,0,1,0,0,0,0,0,2,6,1,4,3,4,6,4,8,4,8,8
0,0,0,2,1,0,1,0,1,0,0,2,0,0,0,2,3,0,0,0,3,6,4,9
0,1,0,1,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,4,5,7,7
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,8
0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
2,1,0,0,0,0,0,3,0,0,0,0,2,3,5,6,6,10,9,8,7,8,5,4
0,3,1,0,0,0,0,0,0,0,0,1,0,1,4,2,5,9,9,7,5,7,7,7
0,2,0,0,0,1,0,0,0,0,0,2,0,2,1,3,6,8,9,10,9,8,7,7
0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,4,6,9,12,11,12,7,8,8
1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,7,9,12,6,7,7,5,6
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,7,7,10,11,11,7,6,7
0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,8,7,12,8,10,10,10,10
0,0,0,0,0,0,0,0,0,0,2,3,3,1,6,5,7,7,9,11,9,12,9,9
0,0,1,1,0,0,0,0,0,0,0,1,2,1,1,6,5,8,11,12,12,10,8,8
0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,2,6,8,9,9,7,8,9
