"0","7","14","21","28","35","42","49","56","63","70"
1,1,0,0,0,0,0,0,0,2,0
0,2,0,1,0,1,3,0,1,1,0
2,1,1,0,0,0,0,1,2,0,1
0,1,1,0,0,3,2,0,0,0,0
0,0,1,0,0,3,5,2,0,1,0
1,0,0,0,0,1,2,0,0,1,2
0,0,0,0,0,2,0,0,2,0,0
0,3,0,0,0,0,1,2,4,0,1
0,0,0,1,0,1,0,0,2,2,1
0,2,0,1,0,3,1,2,2,8,4
0,0,0,0,0,0,1,4,2,6,7
0,0,0,1,0,2,3,1,5,6,7
2,1,2,0,0,0,3,0,0,2,5
0,0,0,0,0,0,0,0,0,5,7
0,0,3,0,0,0,0,0,0,6,4
0,0,2,0,0,2,0,0,0,0,0
1,1,2,0,2,0,0,1,1,0,0
0,1,0,0,1,0,2,0,0,1,0
0,0,0,0,0,4,4,9,7,7,4
0,0,1,2,0,1,3,4,9,4,7
0,1,0,0,0,4,4,7,11,5,6
0,1,0,0,0,0,1,4,7,5,6
0,0,0,0,0,0,1,6,9,6,7
1,0,0,0,0,2,0,9,9,6,4
0,0,0,0,0,0,2,6,12,12,7
0,0,0,0,0,3,2,7,10,10,11
0,0,0,0,0,3,1,8,8,9,9
1,0,0,1,0,0,1,1,5,5,6
2,0,0,2,0,2,0,3,6,8,9
1,1,0,1,0,0,0,1,9,7,7
1,3,5,6,5,6,5,6,7,5,6
0,4,6,5,3,8,7,8,6,5,2
0,5,5,4,3,7,5,8,7,4,5
0,0,2,0,0,6,9,8,9,5,4
3,0,0,0,0,4,6,8,10,8,6
0,0,0,0,0,8,7,11,10,6,5
0,0,4,0,0,4,8,6,10,10,6
0,1,3,1,0,5,5,5,11,7,6
0,0,0,0,0,4,6,7,8,10,5
0,0,0,0,1,5,7,9,9,12,9
1,0,0,0,1,5,6,9,8,11,10
0,0,0,0,1,7,7,11,10,11,6
1,0,0,0,1,4,3,5,5,9,5
0,0,0,0,1,2,3,6,4,6,11
0,0,0,2,0,2,4,3,2,8,5
0,4,5,5,3,5,6,7,7,5,5
1,3,4,5,5,7,7,8,10,6,5
0,3,7,6,5,5,6,7,6,6,6
0,0,0,1,0,3,10,10,12,9,9
0,0,0,0,0,6,10,12,12,10,8
0,0,0,0,0,4,8,12,12,10,8
0,0,0,0,0,5,9,12,12,11,8
0,1,0,0,0,6,6,9,8,11,11
2,0,1,0,0,4,8,10,12,11,6
0,0,0,2,0,5,9,12,10,12,12
1,0,1,0,0,3,9,8,12,12,9
1,0,0,0,0,4,8,10,9,12,9
0,2,0,0,0,1,3,6,12,11,8
0,1,0,0,0,4,4,10,12,12,11
0,0,1,2,0,2,4,9,12,12,8
0,4,5,4,6,4,4,1,2,0,2
0,2,3,3,2,5,4,4,5,2,1
0,3,7,6,6,3,3,5,3,1,1
0,3,0,1,0,0,0,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0
1,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1
0,1,0,1,0,0,1,1,1,0,0
0,0,2,0,1,0,0,2,0,3,5
0,0,0,0,0,0,2,0,0,6,8
0,0,1,0,0,1,0,0,0,4,5
0,0,0,1,1,0,1,0,0,2,6
1,0,0,0,0,0,0,0,0,5,6
0,0,0,0,1,1,0,0,0,2,6
