"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.5,"all",NA,NA,NA,1,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","G1E1SB",5.3,"all","B","A",NA,0,0.1,0,15
"tp","G1E1SB",12,"all","B","A",NA,1,0.1,0,17
"dp","G1E1SB",0.432,"all","B","A",NA,0,0.1,0,1
"ts","G1E1SB",11.9,"all","B","A",NA,0,0.1,0,20
"m","G1E1SB",0.0029088426,"all","B","A",NA,0,0.1,0,1
"mu","G1E1SB",5.2184902094,"all","B","B",NA,0,0.1,0,15
"tp","G1E1SB",12,"all","B","B",NA,1,0.1,0,17
"dp","G1E1SB",0.5902481754,"all","B","B",NA,0,0.1,0,1
"ts","G1E1SB",7.9964886745,"all","B","B",NA,0,0.1,0,20
"m","G1E1SB",0.0005046222,"all","B","B",NA,0,0.1,0,1
"mu","G1E1SB",6.0661537298,"all","B","C",NA,0,0.1,0,15
"tp","G1E1SB",12,"all","B","C",NA,1,0.1,0,17
"dp","G1E1SB",0.5443436586,"all","B","C",NA,0,0.1,0,1
"ts","G1E1SB",5.6255829195,"all","B","C",NA,0,0.1,0,20
"m","G1E1SB",0.0016375485,"all","B","C",NA,0,0.1,0,1
"mu","G1E1SD",6.4667908452,"all","D","D",NA,0,0.1,0,15
"tp","G1E1SD",12,"all","D","D",NA,1,0.1,0,17
"dp","G1E1SD",0.5438258205,"all","D","D",NA,0,0.1,0,1
"ts","G1E1SD",7.1496424079,"all","D","D",NA,0,0.1,0,20
"m","G1E1SD",0.0026807763,"all","D","D",NA,0,0.1,0,1
"mu","G1E1SD",6.9875959381,"all","D","E",NA,0,0.1,0,15
"tp","G1E1SD",12,"all","D","E",NA,1,0.1,0,17
"dp","G1E1SD",0.5798007086,"all","D","E",NA,0,0.1,0,1
"ts","G1E1SD",9.2044706666,"all","D","E",NA,0,0.1,0,20
"m","G1E1SD",0.0004266289,"all","D","E",NA,0,0.1,0,1
"mu","G1E2SC",6.3955848985,"all","C","A",NA,0,0.1,0,15
"tp","G1E2SC",12,"all","C","A",NA,1,0.1,0,17
"dp","G1E2SC",0.5292086786,"all","C","A",NA,0,0.1,0,1
"ts","G1E2SC",13.2973436126,"all","C","A",NA,0,0.1,0,20
"m","G1E2SC",0.0053490421,"all","C","A",NA,0,0.1,0,1
"mu","G1E2SC",6.833280745,"all","C","B",NA,0,0.1,0,15
"tp","G1E2SC",12,"all","C","B",NA,1,0.1,0,17
"dp","G1E2SC",0.4000015746,"all","C","B",NA,0,0.1,0,1
"ts","G1E2SC",6.9076536922,"all","C","B",NA,0,0.1,0,20
"m","G1E2SC",0.0011881703,"all","C","B",NA,0,0.1,0,1
"mu","G1E2SC",5.54406336,"all","C","C",NA,0,0.1,0,15
"tp","G1E2SC",12,"all","C","C",NA,1,0.1,0,17
"dp","G1E2SC",0.4203523718,"all","C","C",NA,0,0.1,0,1
"ts","G1E2SC",12.5204031868,"all","C","C",NA,0,0.1,0,20
"m","G1E2SC",0.0042088424,"all","C","C",NA,0,0.1,0,1
"mu","G1E2SD",2.8743037889,"all","D","D",NA,0,0.1,0,15
"tp","G1E2SD",12,"all","D","D",NA,1,0.1,0,17
"dp","G1E2SD",0.6398211984,"all","D","D",NA,0,0.1,0,1
"ts","G1E2SD",11.5011359076,"all","D","D",NA,0,0.1,0,20
"m","G1E2SD",0.0045211791,"all","D","D",NA,0,0.1,0,1
"mu","G1E2SD",7.9122442538,"all","D","E",NA,0,0.1,0,15
"tp","G1E2SD",12,"all","D","E",NA,1,0.1,0,17
"dp","G1E2SD",0.4274754823,"all","D","E",NA,0,0.1,0,1
"ts","G1E2SD",8.3767786738,"all","D","E",NA,0,0.1,0,20
"m","G1E2SD",0.0023384841,"all","D","E",NA,0,0.1,0,1
"mu","G1E3SE",4.3712945278,"all","E","A",NA,0,0.1,0,15
