"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",0.79,"all",NA,NA,NA,1,0.1,0,1
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",15,"all",NA,NA,NA,1,0.1,0,100
"mu","all",3.78317736275494,"vacc1","B","A",NA,1,0.1,0,8
"tp","all",13.4228267315775,"vacc1","B","A",NA,1,0.1,0,17
"dp","all",0.603477342007682,"vacc1","B","A",NA,1,0.1,0,1
"ts","all",6.70937721384689,"vacc1","B","A",NA,1,0.1,0,15
"m","all",0.00765892710432295,"vacc1","B","A",NA,1,0.1,0,1
"mu","all",7.53471258794889,"vacc1","B","B",NA,1,0.1,0,8
"tp","all",12.4202986245509,"vacc1","B","B",NA,1,0.1,0,17
"dp","all",0.510825988929719,"vacc1","B","B",NA,1,0.1,0,1
"ts","all",13.2524575316347,"vacc1","B","B",NA,1,0.1,0,15
"m","all",0.00886878412201814,"vacc1","B","B",NA,1,0.1,0,1
"mu","all",3.76468532253057,"vacc1","B","C",NA,1,0.1,0,8
"tp","all",10.6812092156615,"vacc1","B","C",NA,1,0.1,0,17
"dp","all",0.565990843717009,"vacc1","B","C",NA,1,0.1,0,1
"ts","all",13.7096115457825,"vacc1","B","C",NA,1,0.1,0,15
"m","all",0.0133271269715847,"vacc1","B","C",NA,1,0.1,0,1
"mu","all",4.07136144302785,"vacc1","D","D",NA,1,0.1,0,8
"tp","all",14.670082210796,"vacc1","D","D",NA,1,0.1,0,17
"dp","all",0.515431023435667,"vacc1","D","D",NA,1,0.1,0,1
"ts","all",12.6664768462069,"vacc1","D","D",NA,1,0.1,0,15
"m","all",0.00101240281261678,"vacc1","D","D",NA,1,0.1,0,1
"mu","all",4.21972325397655,"vacc1","D","E",NA,1,0.1,0,8
"tp","all",10.5417138044722,"vacc1","D","E",NA,1,0.1,0,17
"dp","all",0.533822881686501,"vacc1","D","E",NA,1,0.1,0,1
"ts","all",13.5829264228232,"vacc1","D","E",NA,1,0.1,0,15
"m","all",0.000478636588035313,"vacc1","D","E",NA,1,0.1,0,1
"mu","all",5.11420532502234,"vacc2","D","D",NA,1,0.1,0,8
"tp","all",14.7929823568556,"vacc2","D","D",NA,1,0.1,0,17
"dp","all",0.611036962876096,"vacc2","D","D",NA,1,0.1,0,1
"ts","all",7.95721718808636,"vacc2","D","D",NA,1,0.1,0,15
"m","all",0.0471067178383648,"vacc2","D","D",NA,1,0.1,0,1
"mu","all",5.17703423136845,"vacc2","D","E",NA,1,0.1,0,8
"tp","all",13.0236845007166,"vacc2","D","E",NA,1,0.1,0,17
"dp","all",0.522634777193889,"vacc2","D","E",NA,1,0.1,0,1
"ts","all",8.21368202101439,"vacc2","D","E",NA,1,0.1,0,15
"m","all",0.000936302401527117,"vacc2","D","E",NA,1,0.1,0,1
"mu","all",3.3310579652898,"vacc2","C","A",NA,1,0.1,0,8
"tp","all",10.2032403119374,"vacc2","C","A",NA,1,0.1,0,17
"dp","all",0.519771362678148,"vacc2","C","A",NA,1,0.1,0,1
"ts","all",9.54843567684293,"vacc2","C","A",NA,1,0.1,0,15
"m","all",0.00202055055699274,"vacc2","C","A",NA,1,0.1,0,1
"mu","all",2.24349368922412,"vacc2","C","B",NA,1,0.1,0,8
"tp","all",12.7751218294725,"vacc2","C","B",NA,1,0.1,0,17
"dp","all",0.465237598284148,"vacc2","C","B",NA,1,0.1,0,1
"ts","all",6.15137860877439,"vacc2","C","B",NA,1,0.1,0,15
"m","all",0.000381204357336296,"vacc2","C","B",NA,1,0.1,0,1
"mu","all",6.50244552502409,"vacc2","C","C",NA,1,0.1,0,8
"tp","all",12.097137897741,"vacc2","C","C",NA,1,0.1,0,17
"dp","all",0.573783330968581,"vacc2","C","C",NA,1,0.1,0,1
"ts","all",12.328314029146,"vacc2","C","C",NA,1,0.1,0,15
"m","all",0.0132810665055369,"vacc2","C","C",NA,1,0.1,0,1
"mu","all",3.90493818139657,"infection2","E","D",NA,1,0.1,0,8
"tp","all",11.5803988508414,"infection2","E","D",NA,1,0.1,0,17
"dp","all",0.498245937121101,"infection2","E","D",NA,1,0.1,0,1
"ts","all",9.98552907491103,"infection2","E","D",NA,1,0.1,0,15
"m","all",0.000686635203434881,"infection2","E","D",NA,1,0.1,0,1
"mu","all",3.28271623700857,"infection2","E","E",NA,1,0.1,0,8
"tp","all",16.2745708625298,"infection2","E","E",NA,1,0.1,0,17
"dp","all",0.617138354573399,"infection2","E","E",NA,1,0.1,0,1
"ts","all",11.9153279229067,"infection2","E","E",NA,1,0.1,0,15
"m","all",0.00307195344220417,"infection2","E","E",NA,1,0.1,0,1
"mu","all",4.71018627099693,"adj1","B","A",NA,1,0.1,0,8
"tp","all",14.1201143378858,"adj1","B","A",NA,1,0.1,0,17
"dp","all",0.678818875085562,"adj1","B","A",NA,1,0.1,0,1
"ts","all",11.3480401691049,"adj1","B","A",NA,1,0.1,0,15
"m","all",0.0251316313142478,"adj1","B","A",NA,1,0.1,0,1
"mu","all",7.91228487389162,"adj1","B","B",NA,1,0.1,0,8
"tp","all",14.0549374429975,"adj1","B","B",NA,1,0.1,0,17
"dp","all",0.621099362545647,"adj1","B","B",NA,1,0.1,0,1
"ts","all",5.07814318640158,"adj1","B","B",NA,1,0.1,0,15
"m","all",0.00197303784965192,"adj1","B","B",NA,1,0.1,0,1
"mu","all",2.29300165735185,"adj1","B","C",NA,1,0.1,0,8
"tp","all",12.5033610255923,"adj1","B","C",NA,1,0.1,0,17
"dp","all",0.546028584358282,"adj1","B","C",NA,1,0.1,0,1
"ts","all",11.4168668864295,"adj1","B","C",NA,1,0.1,0,15
"m","all",0.0198467050771668,"adj1","B","C",NA,1,0.1,0,1
"mu","all",7.50231778109446,"adj1","D","D",NA,1,0.1,0,8
"tp","all",11.4757359232754,"adj1","D","D",NA,1,0.1,0,17
"dp","all",0.480031492956914,"adj1","D","D",NA,1,0.1,0,1
"ts","all",8.23381853522733,"adj1","D","D",NA,1,0.1,0,15
"m","all",0.0197019119780304,"adj1","D","D",NA,1,0.1,0,1
"mu","all",2.490242050495,"adj1","D","E",NA,1,0.1,0,8
"tp","all",14.3359511275776,"adj1","D","E",NA,1,0.1,0,17
"dp","all",0.573315509222448,"adj1","D","E",NA,1,0.1,0,1
"ts","all",11.2024691235274,"adj1","D","E",NA,1,0.1,0,15
"m","all",0.0147133087205684,"adj1","D","E",NA,1,0.1,0,1
"mu","all",6.86650767363608,"adj2","D","D",NA,1,0.1,0,8
"tp","all",15.5867012306117,"adj2","D","D",NA,1,0.1,0,17
"dp","all",0.429520152136683,"adj2","D","D",NA,1,0.1,0,1
"ts","all",6.95157015230507,"adj2","D","D",NA,1,0.1,0,15
"m","all",0.00980902584827785,"adj2","D","D",NA,1,0.1,0,1
"mu","all",7.35039511835203,"adj2","D","E",NA,1,0.1,0,8
"tp","all",11.8608679394238,"adj2","D","E",NA,1,0.1,0,17
"dp","all",0.695715460833162,"adj2","D","E",NA,1,0.1,0,1
"ts","all",9.99352712417021,"adj2","D","E",NA,1,0.1,0,15
"m","all",0.0136471332177815,"adj2","D","E",NA,1,0.1,0,1
"mu","all",2.81399563932791,"adj2","C","A",NA,1,0.1,0,8
"tp","all",11.7032202475239,"adj2","C","A",NA,1,0.1,0,17
"dp","all",0.657385010225698,"adj2","C","A",NA,1,0.1,0,1
"ts","all",11.5550066204742,"adj2","C","A",NA,1,0.1,0,15
"m","all",0.00732851863156674,"adj2","C","A",NA,1,0.1,0,1
"mu","all",4.23845278704539,"adj2","C","B",NA,1,0.1,0,8
"tp","all",14.7706366123166,"adj2","C","B",NA,1,0.1,0,17
"dp","all",0.682431162777357,"adj2","C","B",NA,1,0.1,0,1
"ts","all",6.8631237000227,"adj2","C","B",NA,1,0.1,0,15
"m","all",0.00803742823925486,"adj2","C","B",NA,1,0.1,0,1
"mu","all",3.94250769587234,"adj2","C","C",NA,1,0.1,0,8
"tp","all",13.3603318529204,"adj2","C","C",NA,1,0.1,0,17
"dp","all",0.423790203919634,"adj2","C","C",NA,1,0.1,0,1
"ts","all",9.54387308796868,"adj2","C","C",NA,1,0.1,0,15
"m","all",0.03411407750428,"adj2","C","C",NA,1,0.1,0,1
"mu","all",2.50258138263598,"infection1","A","A",NA,1,0.1,0,8
"tp","all",14.3699733489193,"infection1","A","A",NA,1,0.1,0,17
"dp","all",0.562553648394532,"infection1","A","A",NA,1,0.1,0,1
"ts","all",8.70110569754615,"infection1","A","A",NA,1,0.1,0,15
"m","all",0.000708914580952408,"infection1","A","A",NA,1,0.1,0,1
"mu","all",2.50646031787619,"infection1","A","B",NA,1,0.1,0,8
"tp","all",16.068996695336,"infection1","A","B",NA,1,0.1,0,17
"dp","all",0.445834104600362,"infection1","A","B",NA,1,0.1,0,1
"ts","all",12.0106565370224,"infection1","A","B",NA,1,0.1,0,15
"m","all",0.00074663872319862,"infection1","A","B",NA,1,0.1,0,1
"mu","all",3.35258045466617,"infection1","A","C",NA,1,0.1,0,8
"tp","all",12.9056154312566,"infection1","A","C",NA,1,0.1,0,17
"dp","all",0.462458219192922,"infection1","A","C",NA,1,0.1,0,1
"ts","all",8.45707228174433,"infection1","A","C",NA,1,0.1,0,15
"m","all",0.000407577507677789,"infection1","A","C",NA,1,0.1,0,1
"beta","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",-Inf,"all",NA,NA,NA,1,0.1,-20,2
"y0_mod","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,0,"all","A","B",NA,1,0.1,0,10000
