"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",0.79,"all",NA,NA,NA,1,0.1,0,1
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",15,"all",NA,NA,NA,1,0.1,0,100
"mu","all",6.39698841748759,"vacc","B","A",NA,1,0.1,0,8
"tp","all",12.222427878296,"vacc","B","A",NA,1,0.1,0,17
"dp","all",0.620715050259605,"vacc","B","A",NA,1,0.1,0,1
"ts","all",8.27486457070336,"vacc","B","A",NA,1,0.1,0,15
"m","all",0.00103729006017856,"vacc","B","A",NA,1,0.1,0,1
"mu","all",4.99131744494662,"vacc","B","B",NA,1,0.1,0,8
"tp","all",11.49650227651,"vacc","B","B",NA,1,0.1,0,17
"dp","all",0.44297755563166,"vacc","B","B",NA,1,0.1,0,1
"ts","all",12.2379451524466,"vacc","B","B",NA,1,0.1,0,15
"m","all",0.029653839446702,"vacc","B","B",NA,1,0.1,0,1
"mu","all",6.14919675374404,"vacc","B","C",NA,1,0.1,0,8
"tp","all",13.1618839828297,"vacc","B","C",NA,1,0.1,0,17
"dp","all",0.532873502839357,"vacc","B","C",NA,1,0.1,0,1
"ts","all",14.2939625028521,"vacc","B","C",NA,1,0.1,0,15
"m","all",0.00636423535323131,"vacc","B","C",NA,1,0.1,0,1
"mu","all",5.80882410146296,"vacc","D","D",NA,1,0.1,0,8
"tp","all",16.8976656862069,"vacc","D","D",NA,1,0.1,0,17
"dp","all",0.6589823191287,"vacc","D","D",NA,1,0.1,0,1
"ts","all",12.3699787515216,"vacc","D","D",NA,1,0.1,0,15
"m","all",0.00607473985955594,"vacc","D","D",NA,1,0.1,0,1
"mu","all",2.04688591184095,"vacc","D","E",NA,1,0.1,0,8
"tp","all",10.3418352669105,"vacc","D","E",NA,1,0.1,0,17
"dp","all",0.506309147900902,"vacc","D","E",NA,1,0.1,0,1
"ts","all",9.86761947860941,"vacc","D","E",NA,1,0.1,0,15
"m","all",0.00200545365550496,"vacc","D","E",NA,1,0.1,0,1
"mu","all",5.85012013185769,"vacc","C","A",NA,1,0.1,0,8
"tp","all",16.4193707446102,"vacc","C","A",NA,1,0.1,0,17
"dp","all",0.644816963397898,"vacc","C","A",NA,1,0.1,0,1
"ts","all",7.66771643189713,"vacc","C","A",NA,1,0.1,0,15
"m","all",0.000962570823217101,"vacc","C","A",NA,1,0.1,0,1
"mu","all",3.9402911211364,"vacc","C","B",NA,1,0.1,0,8
"tp","all",10.5719490589108,"vacc","C","B",NA,1,0.1,0,17
"dp","all",0.644377624406479,"vacc","C","B",NA,1,0.1,0,1
"ts","all",10.7771836407483,"vacc","C","B",NA,1,0.1,0,15
"m","all",0.00742507827894342,"vacc","C","B",NA,1,0.1,0,1
"mu","all",5.72148147411644,"vacc","C","C",NA,1,0.1,0,8
"tp","all",15.6775922859088,"vacc","C","C",NA,1,0.1,0,17
"dp","all",0.626859829621389,"vacc","C","C",NA,1,0.1,0,1
"ts","all",5.98400507122278,"vacc","C","C",NA,1,0.1,0,15
"m","all",0.0181424801488557,"vacc","C","C",NA,1,0.1,0,1
"mu","all",3.17094209138304,"infection","E","D",NA,1,0.1,0,8
"tp","all",16.2421276380774,"infection","E","D",NA,1,0.1,0,17
"dp","all",0.602532861265354,"infection","E","D",NA,1,0.1,0,1
"ts","all",14.8571820277721,"infection","E","D",NA,1,0.1,0,15
"m","all",0.00126737351969954,"infection","E","D",NA,1,0.1,0,1
"mu","all",4.99611627450213,"infection","E","E",NA,1,0.1,0,8
"tp","all",10.9496615792159,"infection","E","E",NA,1,0.1,0,17
"dp","all",0.622346451994963,"infection","E","E",NA,1,0.1,0,1
"ts","all",13.5795003408566,"infection","E","E",NA,1,0.1,0,15
"m","all",0.00113240214682294,"infection","E","E",NA,1,0.1,0,1
"mu","all",5.9330039722845,"adj","B","A",NA,1,0.1,0,8
"tp","all",12.611528251553,"adj","B","A",NA,1,0.1,0,17
"dp","all",0.585041087190621,"adj","B","A",NA,1,0.1,0,1
"ts","all",14.4143720925786,"adj","B","A",NA,1,0.1,0,15
"m","all",0.0101284962214276,"adj","B","A",NA,1,0.1,0,1
"mu","all",3.11787422001362,"adj","B","B",NA,1,0.1,0,8
"tp","all",12.2662589785177,"adj","B","B",NA,1,0.1,0,17
"dp","all",0.590581232937984,"adj","B","B",NA,1,0.1,0,1
"ts","all",5.79300679732114,"adj","B","B",NA,1,0.1,0,15
"m","all",0.00369874035385791,"adj","B","B",NA,1,0.1,0,1
"mu","all",4.72632385278121,"adj","B","C",NA,1,0.1,0,8
"tp","all",10.5863449464086,"adj","B","C",NA,1,0.1,0,17
"dp","all",0.67731729100924,"adj","B","C",NA,1,0.1,0,1
"ts","all",10.4184549464844,"adj","B","C",NA,1,0.1,0,15
"m","all",0.00760772983468513,"adj","B","C",NA,1,0.1,0,1
"mu","all",4.22066341852769,"adj","D","D",NA,1,0.1,0,8
"tp","all",10.5908703708556,"adj","D","D",NA,1,0.1,0,17
"dp","all",0.444893468986265,"adj","D","D",NA,1,0.1,0,1
"ts","all",6.52780348667875,"adj","D","D",NA,1,0.1,0,15
"m","all",0.0256041108457952,"adj","D","D",NA,1,0.1,0,1
"mu","all",6.20639392221346,"adj","D","E",NA,1,0.1,0,8
"tp","all",11.5780105304439,"adj","D","E",NA,1,0.1,0,17
"dp","all",0.44800425239373,"adj","D","E",NA,1,0.1,0,1
"ts","all",7.08194063976407,"adj","D","E",NA,1,0.1,0,15
"m","all",0.0026729824533631,"adj","D","E",NA,1,0.1,0,1
"mu","all",4.0742433690466,"adj","C","A",NA,1,0.1,0,8
"tp","all",10.8935512267053,"adj","C","A",NA,1,0.1,0,17
"dp","all",0.411683233571239,"adj","C","A",NA,1,0.1,0,1
"ts","all",13.3793948264793,"adj","C","A",NA,1,0.1,0,15
"m","all",0.00266133932237784,"adj","C","A",NA,1,0.1,0,1
"mu","all",3.93549691978842,"adj","C","B",NA,1,0.1,0,8
"tp","all",11.8294192131143,"adj","C","B",NA,1,0.1,0,17
"dp","all",0.489099781238474,"adj","C","B",NA,1,0.1,0,1
"ts","all",6.65017822990194,"adj","C","B",NA,1,0.1,0,15
"m","all",0.00348759619482183,"adj","C","B",NA,1,0.1,0,1
"mu","all",4.93140513356775,"adj","C","C",NA,1,0.1,0,8
"tp","all",16.2546588205732,"adj","C","C",NA,1,0.1,0,17
"dp","all",0.591170830535702,"adj","C","C",NA,1,0.1,0,1
"ts","all",9.17813992593437,"adj","C","C",NA,1,0.1,0,15
"m","all",0.000432263486785862,"adj","C","C",NA,1,0.1,0,1
"mu","all",6.57421946013346,"infection","A","A",NA,1,0.1,0,8
"tp","all",16.828666762216,"infection","A","A",NA,1,0.1,0,17
"dp","all",0.69324352114927,"infection","A","A",NA,1,0.1,0,1
"ts","all",8.58592884615064,"infection","A","A",NA,1,0.1,0,15
"m","all",0.00135388817532792,"infection","A","A",NA,1,0.1,0,1
"mu","all",5.09314351901412,"infection","A","B",NA,1,0.1,0,8
"tp","all",13.8396187061444,"infection","A","B",NA,1,0.1,0,17
"dp","all",0.575492083420977,"infection","A","B",NA,1,0.1,0,1
"ts","all",10.4378772084601,"infection","A","B",NA,1,0.1,0,15
"m","all",0.000386746001201035,"infection","A","B",NA,1,0.1,0,1
"mu","all",6.94552734354511,"infection","A","C",NA,1,0.1,0,8
"tp","all",11.8374502121005,"infection","A","C",NA,1,0.1,0,17
"dp","all",0.445760612911545,"infection","A","C",NA,1,0.1,0,1
"ts","all",10.3454682533629,"infection","A","C",NA,1,0.1,0,15
"m","all",0.00458431611358392,"infection","A","C",NA,1,0.1,0,1
"beta","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",-Inf,"all",NA,NA,NA,1,0.1,-20,2
"y0_mod","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,0,"all","A","B",NA,1,0.1,0,10000
"x",NA,0,"all","A","C",NA,1,0.1,0,10000
"x",NA,0,"all","A","D",NA,1,0.1,0,10000
"x",NA,0,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","A","F",NA,1,0.1,0,10000
"x",NA,0,"all","A","G",NA,1,0.1,0,10000
"x",NA,0,"all","A","H",NA,1,0.1,0,10000
"x",NA,0,"all","A","I",NA,1,0.1,0,10000
"x",NA,0,"all","A","J",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0,"all","B","C",NA,1,0.1,0,10000
"x",NA,0,"all","B","D",NA,1,0.1,0,10000
"x",NA,0,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","F",NA,1,0.1,0,10000
"x",NA,0,"all","B","G",NA,1,0.1,0,10000
"x",NA,0,"all","B","H",NA,1,0.1,0,10000
"x",NA,0,"all","B","I",NA,1,0.1,0,10000
"x",NA,0,"all","B","J",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,0,"all","C","D",NA,1,0.1,0,10000
"x",NA,0,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","F",NA,1,0.1,0,10000
"x",NA,0,"all","C","G",NA,1,0.1,0,10000
"x",NA,0,"all","C","H",NA,1,0.1,0,10000
"x",NA,0,"all","C","I",NA,1,0.1,0,10000
"x",NA,0,"all","C","J",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,0,"all","D","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","F",NA,1,0.1,0,10000
"x",NA,0,"all","D","G",NA,1,0.1,0,10000
