"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",0.79,"all",NA,NA,NA,1,0.1,0,1
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",15,"all",NA,NA,NA,1,0.1,0,100
"mu","all",3.4,"vacc1","all","all",NA,1,0.1,0,8
"tp","all",12.9,"vacc1","all","all",NA,1,0.1,0,17
"dp","all",0.462,"vacc1","all","all",NA,1,0.1,0,1
"ts","all",8.5,"vacc1","all","all",NA,1,0.1,0,15
"m","all",0.000405658047820157,"vacc1","all","all",NA,1,0.1,0,1
"mu","all",2.7659010514617,"vacc2","all","all",NA,1,0.1,0,8
"tp","all",12.8995039104484,"vacc2","all","all",NA,1,0.1,0,17
"dp","all",0.651381844794378,"vacc2","all","all",NA,1,0.1,0,1
"ts","all",8.22582819964737,"vacc2","all","all",NA,1,0.1,0,15
"m","all",0.00148105049951176,"vacc2","all","all",NA,1,0.1,0,1
"mu","all",3.56807361124083,"infection2","all","all",NA,1,0.1,0,8
"tp","all",13.2780404307414,"infection2","all","all",NA,1,0.1,0,17
"dp","all",0.449505346897058,"infection2","all","all",NA,1,0.1,0,1
"ts","all",9.88567522261292,"infection2","all","all",NA,1,0.1,0,15
"m","all",0.00811679837729131,"infection2","all","all",NA,1,0.1,0,1
"mu","all",7.36113613191992,"adj1","all","all",NA,1,0.1,0,8
"tp","all",10.3549346744549,"adj1","all","all",NA,1,0.1,0,17
"dp","all",0.525344197778031,"adj1","all","all",NA,1,0.1,0,1
"ts","all",12.6236991002224,"adj1","all","all",NA,1,0.1,0,15
"m","all",0.0444847884494124,"adj1","all","all",NA,1,0.1,0,1
"mu","all",7.8531429390423,"adj2","all","all",NA,1,0.1,0,8
"tp","all",11.9533154251985,"adj2","all","all",NA,1,0.1,0,17
"dp","all",0.507577865384519,"adj2","all","all",NA,1,0.1,0,1
"ts","all",10.1552391983569,"adj2","all","all",NA,1,0.1,0,15
"m","all",0.00625026170704228,"adj2","all","all",NA,1,0.1,0,1
"mu","all",5.29110174812376,"infection1","all","all",NA,1,0.1,0,8
"tp","all",10.1991606287193,"infection1","all","all",NA,1,0.1,0,17
"dp","all",0.563136316253804,"infection1","all","all",NA,1,0.1,0,1
"ts","all",13.2425455725752,"infection1","all","all",NA,1,0.1,0,15
"m","all",0.000719234491261182,"infection1","all","all",NA,1,0.1,0,1
"beta","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",-5,"all",NA,NA,NA,1,0.1,-20,2
"y0_mod","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,50,"all","A","B",NA,1,0.1,0,10000
"x",NA,60,"all","A","C",NA,1,0.1,0,10000
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","A","F",NA,1,0.1,0,10000
"x",NA,0,"all","A","G",NA,1,0.1,0,10000
"x",NA,0,"all","A","H",NA,1,0.1,0,10000
"x",NA,0,"all","A","I",NA,1,0.1,0,10000
"x",NA,0,"all","A","J",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,10,"all","B","C",NA,1,0.1,0,10000
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","F",NA,1,0.1,0,10000
"x",NA,0,"all","B","G",NA,1,0.1,0,10000
"x",NA,0,"all","B","H",NA,1,0.1,0,10000
"x",NA,0,"all","B","I",NA,1,0.1,0,10000
"x",NA,0,"all","B","J",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","F",NA,1,0.1,0,10000
"x",NA,0,"all","C","G",NA,1,0.1,0,10000
"x",NA,0,"all","C","H",NA,1,0.1,0,10000
"x",NA,0,"all","C","I",NA,1,0.1,0,10000
"x",NA,0,"all","C","J",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,200,"all","D","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","F",NA,1,0.1,0,10000
"x",NA,0,"all","D","G",NA,1,0.1,0,10000
"x",NA,0,"all","D","H",NA,1,0.1,0,10000
"x",NA,0,"all","D","I",NA,1,0.1,0,10000
"x",NA,0,"all","D","J",NA,1,0.1,0,10000
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"x",NA,0,"all","E","F",NA,1,0.1,0,10000
"x",NA,0,"all","E","G",NA,1,0.1,0,10000
"x",NA,0,"all","E","H",NA,1,0.1,0,10000
"x",NA,0,"all","E","I",NA,1,0.1,0,10000
"x",NA,0,"all","E","J",NA,1,0.1,0,10000
"x",NA,0,"all","F","F",NA,1,0.1,0,10000
"x",NA,0,"all","F","G",NA,1,0.1,0,10000
"x",NA,0,"all","F","H",NA,1,0.1,0,10000
"x",NA,0,"all","F","I",NA,1,0.1,0,10000
"x",NA,0,"all","F","J",NA,1,0.1,0,10000
"x",NA,0,"all","G","G",NA,1,0.1,0,10000
"x",NA,0,"all","G","H",NA,1,0.1,0,10000
"x",NA,0,"all","G","I",NA,1,0.1,0,10000
"x",NA,0,"all","G","J",NA,1,0.1,0,10000
"x",NA,0,"all","H","H",NA,1,0.1,0,10000
"x",NA,0,"all","H","I",NA,1,0.1,0,10000
"x",NA,0,"all","H","J",NA,1,0.1,0,10000
"x",NA,0,"all","I","I",NA,1,0.1,0,10000
"x",NA,0,"all","I","J",NA,1,0.1,0,10000
"x",NA,0,"all","J","J",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
