"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.5,"all",NA,NA,NA,1,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",4.8,"vacc","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc","all","all",NA,1,0.1,0,17
"dp","all",0.547,"vacc","all","all",NA,0,0.1,0,1
"ts","all",13.9,"vacc","all","all",NA,0,0.1,0,20
"m","all",0.0027121869,"vacc","all","all",NA,0,0.1,0,1
"mu","all",2.304229721,"infection","all","all",NA,0,0.1,0,15
"tp","all",12,"infection","all","all",NA,1,0.1,0,17
"dp","all",0.628710973,"infection","all","all",NA,0,0.1,0,1
"ts","all",14.7552382317,"infection","all","all",NA,0,0.1,0,20
"m","all",0.0020152025,"infection","all","all",NA,0,0.1,0,1
"mu","all",3.6742703645,"adj","all","all",NA,0,0.1,0,15
"tp","all",12,"adj","all","all",NA,1,0.1,0,17
"dp","all",0.554657176,"adj","all","all",NA,0,0.1,0,1
"ts","all",10.4851695802,"adj","all","all",NA,0,0.1,0,20
"m","all",0.0050870286,"adj","all","all",NA,0,0.1,0,1
"beta","all",0.6,"all",NA,NA,NA,1,0.1,0,100
"c","all",4,"all",NA,NA,NA,1,0.1,0,20
"sigma","all",1,"all",NA,NA,NA,0,0.1,0,100
"y0_mod","all",-20,"all",NA,NA,NA,1,0.1,0,500
"boost_limit","all",-1,"all",NA,NA,NA,1,0.1,0,12
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,1,1,0.1,0,1
"mod",NA,1,"all",NA,NA,2,1,0.1,0,1
"mod",NA,1,"all",NA,NA,3,1,0.1,0,1
"mod",NA,1,"all",NA,NA,4,1,0.1,0,1
