runID,runName,Model form,Antigenic Seniority,Cross Reactivity,Priming,Typed exposures,Waning,Titre dependent boosting
1,CNAN6MY,Competitive,Absent,Universal,Absent,6 types,Monophasic,Present
2,CNTN6MY,Competitive,Absent,Type specific,Absent,6 types,Monophasic,Present
3,CNAN3MY,Competitive,Absent,Universal,Absent,3 types,Monophasic,Present
4,CNTN3MY,Competitive,Absent,Type specific,Absent,3 types,Monophasic,Present
5,CNAN6BY,Competitive,Absent,Universal,Absent,6 types,Biphasic,Present
6,CNTN6BY,Competitive,Absent,Type specific,Absent,6 types,Biphasic,Present
7,CNAN3BY,Competitive,Absent,Universal,Absent,3 types,Biphasic,Present
8,CNTN3BY,Competitive,Absent,Type specific,Absent,3 types,Biphasic,Present
9,CNAN6MN,Competitive,Absent,Universal,Absent,6 types,Monophasic,Absent
10,CNTN6MN,Competitive,Absent,Type specific,Absent,6 types,Monophasic,Absent
11,CNAN3MN,Competitive,Absent,Universal,Absent,3 types,Monophasic,Absent
12,CNTN3MN,Competitive,Absent,Type specific,Absent,3 types,Monophasic,Absent
13,CNAN6BN,Competitive,Absent,Universal,Absent,6 types,Biphasic,Absent
14,CNTN6BN,Competitive,Absent,Type specific,Absent,6 types,Biphasic,Absent
15,CNAN3BN,Competitive,Absent,Universal,Absent,3 types,Biphasic,Absent
16,CNTN3BN,Competitive,Absent,Type specific,Absent,3 types,Biphasic,Absent
17,CNAY6MY,Competitive,Absent,Universal,Present,6 types,Monophasic,Present
18,CNTY6MY,Competitive,Absent,Type specific,Present,6 types,Monophasic,Present
19,CNAY3MY,Competitive,Absent,Universal,Present,3 types,Monophasic,Present
20,CNTY3MY,Competitive,Absent,Type specific,Present,3 types,Monophasic,Present
21,CNAY6BY,Competitive,Absent,Universal,Present,6 types,Biphasic,Present
22,CNTY6BY,Competitive,Absent,Type specific,Present,6 types,Biphasic,Present
23,CNAY3BY,Competitive,Absent,Universal,Present,3 types,Biphasic,Present
24,CNTY3BY,Competitive,Absent,Type specific,Present,3 types,Biphasic,Present
25,CNAY6MN,Competitive,Absent,Universal,Present,6 types,Monophasic,Absent
26,CNTY6MN,Competitive,Absent,Type specific,Present,6 types,Monophasic,Absent
27,CNAY3MN,Competitive,Absent,Universal,Present,3 types,Monophasic,Absent
28,CNTY3MN,Competitive,Absent,Type specific,Present,3 types,Monophasic,Absent
29,CNAY6BN,Competitive,Absent,Universal,Present,6 types,Biphasic,Absent
30,CNTY6BN,Competitive,Absent,Type specific,Present,6 types,Biphasic,Absent
31,CNAY3BN,Competitive,Absent,Universal,Present,3 types,Biphasic,Absent
32,CNTY3BN,Competitive,Absent,Type specific,Present,3 types,Biphasic,Absent
33,CYAN6MY,Competitive,Present,Universal,Absent,6 types,Monophasic,Present
34,CYTN6MY,Competitive,Present,Type specific,Absent,6 types,Monophasic,Present
35,CYAN3MY,Competitive,Present,Universal,Absent,3 types,Monophasic,Present
36,CYTN3MY,Competitive,Present,Type specific,Absent,3 types,Monophasic,Present
37,CYAN6BY,Competitive,Present,Universal,Absent,6 types,Biphasic,Present
38,CYTN6BY,Competitive,Present,Type specific,Absent,6 types,Biphasic,Present
39,CYAN3BY,Competitive,Present,Universal,Absent,3 types,Biphasic,Present
40,CYTN3BY,Competitive,Present,Type specific,Absent,3 types,Biphasic,Present
41,CYAN6MN,Competitive,Present,Universal,Absent,6 types,Monophasic,Absent
42,CYTN6MN,Competitive,Present,Type specific,Absent,6 types,Monophasic,Absent
43,CYAN3MN,Competitive,Present,Universal,Absent,3 types,Monophasic,Absent
44,CYTN3MN,Competitive,Present,Type specific,Absent,3 types,Monophasic,Absent
45,CYAN6BN,Competitive,Present,Universal,Absent,6 types,Biphasic,Absent
46,CYTN6BN,Competitive,Present,Type specific,Absent,6 types,Biphasic,Absent
47,CYAN3BN,Competitive,Present,Universal,Absent,3 types,Biphasic,Absent
48,CYTN3BN,Competitive,Present,Type specific,Absent,3 types,Biphasic,Absent
49,CYAY6MY,Competitive,Present,Universal,Present,6 types,Monophasic,Present
50,CYTY6MY,Competitive,Present,Type specific,Present,6 types,Monophasic,Present
51,CYAY3MY,Competitive,Present,Universal,Present,3 types,Monophasic,Present
52,CYTY3MY,Competitive,Present,Type specific,Present,3 types,Monophasic,Present
53,CYAY6BY,Competitive,Present,Universal,Present,6 types,Biphasic,Present
54,CYTY6BY,Competitive,Present,Type specific,Present,6 types,Biphasic,Present
55,CYAY3BY,Competitive,Present,Universal,Present,3 types,Biphasic,Present
56,CYTY3BY,Competitive,Present,Type specific,Present,3 types,Biphasic,Present
57,CYAY6MN,Competitive,Present,Universal,Present,6 types,Monophasic,Absent
58,CYTY6MN,Competitive,Present,Type specific,Present,6 types,Monophasic,Absent
59,CYAY3MN,Competitive,Present,Universal,Present,3 types,Monophasic,Absent
60,CYTY3MN,Competitive,Present,Type specific,Present,3 types,Monophasic,Absent
61,CYAY6BN,Competitive,Present,Universal,Present,6 types,Biphasic,Absent
62,CYTY6BN,Competitive,Present,Type specific,Present,6 types,Biphasic,Absent
63,CYAY3BN,Competitive,Present,Universal,Present,3 types,Biphasic,Absent
64,CYTY3BN,Competitive,Present,Type specific,Present,3 types,Biphasic,Absent
