runID,parTab_file,exposureTab_file,form,antigenic_seniority,cr,priming,types,wane,y0_mod,runName,dat_file
1,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/1_CNAN6MY_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,A,N,6,M,Y,CNAN6MY,inputs_Jan2019/sim_all/isolated/1_CNAN6MY_data.csv
2,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/2_CNTN6MY_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,T,N,6,M,Y,CNTN6MY,inputs_Jan2019/sim_all/isolated/2_CNTN6MY_data.csv
3,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/3_CNAN3MY_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,A,N,3,M,Y,CNAN3MY,inputs_Jan2019/sim_all/isolated/3_CNAN3MY_data.csv
4,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/4_CNTN3MY_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,T,N,3,M,Y,CNTN3MY,inputs_Jan2019/sim_all/isolated/4_CNTN3MY_data.csv
5,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/5_CNAN6BY_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,A,N,6,B,Y,CNAN6BY,inputs_Jan2019/sim_all/isolated/5_CNAN6BY_data.csv
6,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/6_CNTN6BY_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,T,N,6,B,Y,CNTN6BY,inputs_Jan2019/sim_all/isolated/6_CNTN6BY_data.csv
7,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/7_CNAN3BY_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,A,N,3,B,Y,CNAN3BY,inputs_Jan2019/sim_all/isolated/7_CNAN3BY_data.csv
8,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/8_CNTN3BY_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,T,N,3,B,Y,CNTN3BY,inputs_Jan2019/sim_all/isolated/8_CNTN3BY_data.csv
9,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/9_CNAN6MN_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,A,N,6,M,N,CNAN6MN,inputs_Jan2019/sim_all/isolated/9_CNAN6MN_data.csv
10,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/10_CNTN6MN_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,T,N,6,M,N,CNTN6MN,inputs_Jan2019/sim_all/isolated/10_CNTN6MN_data.csv
11,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/11_CNAN3MN_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,A,N,3,M,N,CNAN3MN,inputs_Jan2019/sim_all/isolated/11_CNAN3MN_data.csv
12,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/12_CNTN3MN_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,T,N,3,M,N,CNTN3MN,inputs_Jan2019/sim_all/isolated/12_CNTN3MN_data.csv
13,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/13_CNAN6BN_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,A,N,6,B,N,CNAN6BN,inputs_Jan2019/sim_all/isolated/13_CNAN6BN_data.csv
14,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/14_CNTN6BN_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,N,T,N,6,B,N,CNTN6BN,inputs_Jan2019/sim_all/isolated/14_CNTN6BN_data.csv
15,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/15_CNAN3BN_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,A,N,3,B,N,CNAN3BN,inputs_Jan2019/sim_all/isolated/15_CNAN3BN_data.csv
16,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/16_CNTN3BN_parTab.csv,inputs/exposureTabs/C_exposureTab.csv,C,N,T,N,3,B,N,CNTN3BN,inputs_Jan2019/sim_all/isolated/16_CNTN3BN_data.csv
17,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/17_CNAY6MY_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,A,Y,6,M,Y,CNAY6MY,inputs_Jan2019/sim_all/isolated/17_CNAY6MY_data.csv
18,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/18_CNTY6MY_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,T,Y,6,M,Y,CNTY6MY,inputs_Jan2019/sim_all/isolated/18_CNTY6MY_data.csv
19,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/19_CNAY3MY_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,A,Y,3,M,Y,CNAY3MY,inputs_Jan2019/sim_all/isolated/19_CNAY3MY_data.csv
20,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/20_CNTY3MY_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,T,Y,3,M,Y,CNTY3MY,inputs_Jan2019/sim_all/isolated/20_CNTY3MY_data.csv
21,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/21_CNAY6BY_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,A,Y,6,B,Y,CNAY6BY,inputs_Jan2019/sim_all/isolated/21_CNAY6BY_data.csv
22,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/22_CNTY6BY_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,T,Y,6,B,Y,CNTY6BY,inputs_Jan2019/sim_all/isolated/22_CNTY6BY_data.csv
23,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/23_CNAY3BY_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,A,Y,3,B,Y,CNAY3BY,inputs_Jan2019/sim_all/isolated/23_CNAY3BY_data.csv
24,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/24_CNTY3BY_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,T,Y,3,B,Y,CNTY3BY,inputs_Jan2019/sim_all/isolated/24_CNTY3BY_data.csv
25,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/25_CNAY6MN_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,A,Y,6,M,N,CNAY6MN,inputs_Jan2019/sim_all/isolated/25_CNAY6MN_data.csv
26,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/26_CNTY6MN_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,T,Y,6,M,N,CNTY6MN,inputs_Jan2019/sim_all/isolated/26_CNTY6MN_data.csv
27,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/27_CNAY3MN_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,A,Y,3,M,N,CNAY3MN,inputs_Jan2019/sim_all/isolated/27_CNAY3MN_data.csv
28,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/28_CNTY3MN_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,T,Y,3,M,N,CNTY3MN,inputs_Jan2019/sim_all/isolated/28_CNTY3MN_data.csv
29,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/29_CNAY6BN_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,A,Y,6,B,N,CNAY6BN,inputs_Jan2019/sim_all/isolated/29_CNAY6BN_data.csv
30,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/30_CNTY6BN_parTab.csv,inputs/exposureTabs/D_exposureTab.csv,C,N,T,Y,6,B,N,CNTY6BN,inputs_Jan2019/sim_all/isolated/30_CNTY6BN_data.csv
31,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/31_CNAY3BN_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,A,Y,3,B,N,CNAY3BN,inputs_Jan2019/sim_all/isolated/31_CNAY3BN_data.csv
32,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/32_CNTY3BN_parTab.csv,inputs/exposureTabs/E_exposureTab.csv,C,N,T,Y,3,B,N,CNTY3BN,inputs_Jan2019/sim_all/isolated/32_CNTY3BN_data.csv
33,~/net/home/ferret/inputs_Jan2019/sim_all_tmp/competitive/33_CYAN6MY_parTab.csv,inputs/exposureTabs/B_exposureTab.csv,C,Y,A,N,6,M,Y,CYAN6MY,inputs_Jan2019/sim_all/isolated/33_CYAN6MY_data.csv
