"runID","parTab_file","exposureTab_file","form","antigenic_seniority","cr","priming","types","wane","y0_mod","runName","data_file"
"protocol","inputs_Jan2019/sim_best_model/CNAY6MY/protocol_CNAY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","A","Y",6,"M","Y","CNAY6MY","inputs_Jan2019/sim_best_model/CNAY6MY/protocol_CNAY6MY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CNAY6MY/weekly_CNAY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","A","Y",6,"M","Y","CNAY6MY","inputs_Jan2019/sim_best_model/CNAY6MY/weekly_CNAY6MY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CNAY6MY/3days_CNAY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","A","Y",6,"M","Y","CNAY6MY","inputs_Jan2019/sim_best_model/CNAY6MY/3days_CNAY6MY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CNTY6MY/protocol_CNTY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","T","Y",6,"M","Y","CNTY6MY","inputs_Jan2019/sim_best_model/CNTY6MY/protocol_CNTY6MY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CNTY6MY/weekly_CNTY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","T","Y",6,"M","Y","CNTY6MY","inputs_Jan2019/sim_best_model/CNTY6MY/weekly_CNTY6MY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CNTY6MY/3days_CNTY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","T","Y",6,"M","Y","CNTY6MY","inputs_Jan2019/sim_best_model/CNTY6MY/3days_CNTY6MY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CNAY6BY/protocol_CNAY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","A","Y",6,"B","Y","CNAY6BY","inputs_Jan2019/sim_best_model/CNAY6BY/protocol_CNAY6BY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CNAY6BY/weekly_CNAY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","A","Y",6,"B","Y","CNAY6BY","inputs_Jan2019/sim_best_model/CNAY6BY/weekly_CNAY6BY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CNAY6BY/3days_CNAY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","A","Y",6,"B","Y","CNAY6BY","inputs_Jan2019/sim_best_model/CNAY6BY/3days_CNAY6BY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CNTY6BY/protocol_CNTY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","T","Y",6,"B","Y","CNTY6BY","inputs_Jan2019/sim_best_model/CNTY6BY/protocol_CNTY6BY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CNTY6BY/weekly_CNTY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","T","Y",6,"B","Y","CNTY6BY","inputs_Jan2019/sim_best_model/CNTY6BY/weekly_CNTY6BY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CNTY6BY/3days_CNTY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","N","T","Y",6,"B","Y","CNTY6BY","inputs_Jan2019/sim_best_model/CNTY6BY/3days_CNTY6BY_data.csv"
