names,id,values,type,exposure,strain,order,fixed,steps,lower_bound,upper_bound
lower_bound,all,0,all,NA,NA,NA,1,0.1,-1000,0
S,all,0.79,all,NA,NA,NA,1,0.1,0,1
EA,all,0.2,all,NA,NA,NA,1,0.1,0,1
MAX_TITRE,all,15,all,NA,NA,NA,1,0.1,0,100
mu,G1E1SB,2.7,vacc1,all,all,NA,0,0.1,0,8
tp,G1E1SB,12.5,vacc1,all,all,NA,1,0.1,0,17
dp,G1E1SB,0.519,vacc1,all,all,NA,0,0.1,0,1
ts,G1E1SB,11.6,vacc1,all,all,NA,0,0.1,0,15
m,G1E1SB,0.0004394441,vacc1,all,all,NA,0,0.1,0,1
mu,G1E2SD,3.2998837074,vacc2,all,all,NA,0,0.1,0,8
tp,G1E2SD,13.6661738872,vacc2,all,all,NA,1,0.1,0,17
dp,G1E2SD,0.5411409521,vacc2,all,all,NA,0,0.1,0,1
ts,G1E2SD,11.5410697344,vacc2,all,all,NA,0,0.1,0,15
m,G1E2SD,0.0006420275,vacc2,all,all,NA,0,0.1,0,1
mu,G1E3SE,5.9923734074,infection2,all,all,NA,0,0.1,0,8
tp,G1E3SE,16.656314214,infection2,all,all,NA,1,0.1,0,17
dp,G1E3SE,0.564313067,infection2,all,all,NA,0,0.1,0,1
ts,G1E3SE,12.5212065503,infection2,all,all,NA,0,0.1,0,15
m,G1E3SE,0.0009107191,infection2,all,all,NA,0,0.1,0,1
mu,G2E1SA,5.3206169005,infection1,all,all,NA,0,0.1,0,8
tp,G2E1SA,14.8981829733,infection1,all,all,NA,1,0.1,0,17
dp,G2E1SA,0.5943687422,infection1,all,all,NA,0,0.1,0,1
ts,G2E1SA,14.9409850803,infection1,all,all,NA,0,0.1,0,15
m,G2E1SA,0.0024516572,infection1,all,all,NA,0,0.1,0,1
beta,all,-20,all,NA,NA,NA,1,0.1,-20,2
c,all,4,all,NA,NA,NA,1,0.1,0,20
sigma,all,-5,all,NA,NA,NA,1,0.1,-20,2
y0_mod,all,-20,all,NA,NA,NA,1,0.1,-20,2
x,NA,0,all,A,A,NA,1,0.1,0,10000
x,NA,50,all,A,B,NA,0,0.1,0,10000
x,NA,60,all,A,C,NA,0,0.1,0,10000
x,NA,1000,all,A,D,NA,1,0.1,0,10000
x,NA,1000,all,A,E,NA,1,0.1,0,10000
x,NA,0,all,B,B,NA,1,0.1,0,10000
x,NA,10,all,B,C,NA,0,0.1,0,10000
x,NA,1000,all,B,D,NA,1,0.1,0,10000
x,NA,1000,all,B,E,NA,1,0.1,0,10000
x,NA,0,all,C,C,NA,1,0.1,0,10000
x,NA,1000,all,C,D,NA,1,0.1,0,10000
x,NA,1000,all,C,E,NA,1,0.1,0,10000
x,NA,0,all,D,D,NA,1,0.1,0,10000
x,NA,60,all,D,E,NA,0,0.1,0,10000
x,NA,0,all,E,E,NA,1,0.1,0,10000
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
