id,values,type,exposure,strain,order,primed,group,end,next_t
G1E1SB,28,vacc1,B,A,1,0,1,100,42
G1E1SB,28,vacc1,B,B,1,0,1,100,42
G1E1SB,28,vacc1,B,C,1,0,1,100,42
G1E1SD,28,vacc1,D,D,1,0,1,100,42
G1E1SD,28,vacc1,D,E,1,0,1,100,42
G1E2SD,42,vacc2,D,D,2,0,1,100,70
G1E2SD,42,vacc2,D,E,2,0,1,100,70
G1E2SC,42,vacc2,C,A,2,0,1,100,100
G1E2SC,42,vacc2,C,B,2,0,1,100,100
G1E2SC,42,vacc2,C,C,2,0,1,100,100
G1E3SE,70,infection2,E,D,3,0,1,100,100
G1E3SE,70,infection2,E,E,3,0,1,100,100
G2E1SA,0,infection1,A,A,1,0,2,100,28
G2E1SA,0,infection1,A,B,1,0,2,100,28
G2E1SA,0,infection1,A,C,1,0,2,100,28
G2E2SB,28,vacc1,B,A,2,0,2,100,42
G2E2SB,28,vacc1,B,B,2,0,2,100,42
G2E2SB,28,vacc1,B,C,2,0,2,100,42
G2E2SD,28,vacc1,D,D,2,0,2,100,42
G2E2SD,28,vacc1,D,E,2,0,2,100,42
G2E3SD,42,vacc2,D,D,3,0,2,100,70
G2E3SD,42,vacc2,D,E,3,0,2,100,70
G2E3SC,42,vacc2,C,A,3,0,2,100,100
G2E3SC,42,vacc2,C,B,3,0,2,100,100
G2E3SC,42,vacc2,C,C,3,0,2,100,100
G2E4SE,70,infection2,E,D,4,0,2,100,100
G2E4SE,70,infection2,E,E,4,0,2,100,100
