runID,Model Form,Antigenic Seniority,Cross Reactivity,Priming,Typed exposures,Waning,Titre dependent boosting,BIC,WAIC,Minimum ESS Parameter,Minimum ESS Value,Max Gelman PSRF Parameter,Max Gelman PSRF,Gelman MPSRF,δWAIC,δBIC
54,Competitive,Present,Type specific,Present,6 types,Biphasic,Present,1060.9981835188,912.3350951575,dp,3089.7202415674,m4,1.1835354529,1.00585417,0,43.1264985923
62,Competitive,Present,Type specific,Present,6 types,Biphasic,Absent,1056.6953091059,913.9846572461,dp,5330.6557983539,m1,1.2129535267,1.0011320287,1.6495620886,38.8236241794
61,Competitive,Present,Universal,Present,6 types,Biphasic,Absent,1050.6185372063,924.0355480898,dp,3016.0504295629,m1,1.057143691,1.0026792128,11.7004529323,32.7468522798
117,Isolated,Present,Universal,Present,6 types,Biphasic,Present,1059.9984918312,928.1591030999,dp,4466.9684829135,ts4,1.010257846,1.0045709522,15.8240079424,42.1268069047
53,Competitive,Present,Universal,Present,6 types,Biphasic,Present,1053.2355020692,932.6052627744,σ,1117.2231321347,m1,1.1270824223,1.0234136073,20.2701676169,35.3638171427
119,Isolated,Present,Universal,Present,3 types,Biphasic,Present,1017.8716849265,933.7862211456,ts1,5926.4134581592,ρ2,1.0054730753,1.0016547643,21.4511259881,0
126,Isolated,Present,Type specific,Present,6 types,Biphasic,Absent,1076.3369530227,942.4885216235,dp4,3936.252314494,m,1.0071351306,1.0031060046,30.153426466,58.4652680962
22,Competitive,Absent,Type specific,Present,6 types,Biphasic,Present,1069.8578940688,942.511164812,dp,956.4064040291,μ2,1.0827701225,1.0167086999,30.1760696545,51.9862091423
30,Competitive,Absent,Type specific,Present,6 types,Biphasic,Absent,1068.2946565705,943.4979434043,μ2,4862.9306606201,σ,1.0111420067,1.0031443656,31.1628482468,50.422971644
125,Isolated,Present,Universal,Present,6 types,Biphasic,Absent,1059.2368038207,945.5679967836,dp4,1198.5409553546,dp4,1.0707361992,1.0279774654,33.2329016261,41.3651188942
118,Isolated,Present,Type specific,Present,6 types,Biphasic,Present,1077.1358202707,950.3731316269,dp1,1459.1439318236,σ3,1.2649343518,1.0189918069,38.0380364694,59.2641353442
113,Isolated,Present,Universal,Present,6 types,Monophasic,Present,1020.5264036387,959.0879203964,σ,2123.9477428081,m1,1.0491247629,1.0068794055,46.7528252389,2.6547187122
94,Isolated,Absent,Type specific,Present,6 types,Biphasic,Absent,1090.2235309454,962.0744922028,μ2,5177.0911657399,σ,1.0559147763,1.0019252971,49.7393970453,72.3518460189
93,Isolated,Absent,Universal,Present,6 types,Biphasic,Absent,1076.581005771,962.4392581638,μ1,4159.6050574472,m,1.0184978888,1.0061947002,50.1041630063,58.7093208445
86,Isolated,Absent,Type specific,Present,6 types,Biphasic,Present,1084.3716382818,963.0280090514,ts3,2166.8498048945,m,1.0663710518,1.005651755,50.6929138939,66.4999533553
120,Isolated,Present,Type specific,Present,3 types,Biphasic,Present,1026.6675346776,964.2752183208,β,6480.4907687393,m,1.0713150044,1.0035634621,51.9401231633,8.7958497511
128,Isolated,Present,Type specific,Present,3 types,Biphasic,Absent,1046.2079629831,964.3953094137,dp2,5170.5161421482,m,1.0210998213,1.0005115894,52.0602142562,28.3362780566
85,Isolated,Absent,Universal,Present,6 types,Biphasic,Present,1078.2148459063,966.8233272613,ts3,3106.1391937314,m,1.0669306645,1.012758036,54.4882321038,60.3431609798
114,Isolated,Present,Type specific,Present,6 types,Monophasic,Present,1051.3072663132,970.0615568935,m3,759.3053681851,σ2,1.1033564039,1.0135304043,57.726461736,33.4355813867
127,Isolated,Present,Universal,Present,3 types,Biphasic,Absent,1051.3105088025,971.6391379837,dp2,2764.1062110275,dp2,1.0357849831,1.0060648974,59.3040428262,33.438823876
29,Competitive,Absent,Universal,Present,6 types,Biphasic,Absent,1069.581141661,973.2238372361,σ,2081.4871222557,m4,1.0946947587,1.0042002168,60.8887420786,51.7094567345
121,Isolated,Present,Universal,Present,6 types,Monophasic,Absent,1044.8678192545,981.1288707412,μ1,1853.3436628424,m3,1.0223844389,1.0052118107,68.7937755837,26.996134328
90,Isolated,Absent,Type specific,Present,6 types,Monophasic,Absent,1069.9231255203,990.6261760823,μ2,4481.5830868826,m3,1.0624073956,1.0038441373,78.2910809248,52.0514405938
21,Competitive,Absent,Universal,Present,6 types,Biphasic,Present,1068.6991127266,991.3763302012,γ,1212.4565796628,γ,1.5153430699,1.167348494,79.0412350437,50.8274278001
122,Isolated,Present,Type specific,Present,6 types,Monophasic,Absent,1052.987905391,1002.1993151978,m,858.6485893086,m3,1.2676369889,1.0186295933,89.8642200403,35.1162204645
82,Isolated,Absent,Type specific,Present,6 types,Monophasic,Present,1047.1667545153,1006.9009702015,μ4,1283.4798942084,μ4,1.2745348157,1.1039091749,94.565875044,29.2950695888
