runID,Antigenic Seniority,Cross Reactivity,Priming,Typed exposures,Waning,Titre dependent boosting,BIC,WAIC,Minimum ESS Parameter,Minimum ESS Value,Max Gelman PSRF Parameter,Max Gelman PSRF,Gelman MPSRF,δWAIC,δBIC
1,Absent,Universal,Absent,6 types,Monophasic,Present,1056.5508681287,993.7538099582,m2,5438.0379479459,μ2,1.0082919828,1.0026528586,183.2591767148,116.1478702395
2,Absent,Type specific,Absent,6 types,Monophasic,Present,1073.3554432725,1000.7634190035,m2,3686.7950773305,σ2,1.0419674803,1.0037446507,190.2687857601,132.9524453833
3,Absent,Universal,Absent,3 types,Monophasic,Present,1075.2444346676,1036.6747113599,y_limit,58748.4533695954,μ2,1.0005668035,1.0001739815,226.1800781165,134.8414367784
4,Absent,Type specific,Absent,3 types,Monophasic,Present,1081.2014156591,1039.469877215,γ,45235.4871672029,σ,1.0031174745,1.0002303206,228.9752439716,140.7984177699
5,Absent,Universal,Absent,6 types,Biphasic,Present,1080.0543237892,958.670767223,μ1,1134.6886784992,m5,1.1970873607,1.0096552331,148.1761339796,139.6513259
6,Absent,Type specific,Absent,6 types,Biphasic,Present,1100.7239222635,974.0512829915,σ2,1027.1528125386,σ,1.1297874153,1.0142430405,163.5566497481,160.3209243743
7,Absent,Universal,Absent,3 types,Biphasic,Present (suppression),1100.6630396101,1028.9205227192,ts,6202.3079037125,ts,1.0051709451,1.0022210062,218.4258894758,160.2600417209
8,Absent,Type specific,Absent,3 types,Biphasic,Present (suppression),1093.0075415745,1024.4543515912,ts,2250.9657912808,σ,1.0143745765,1.0053517354,213.9597183478,152.6045436853
9,Absent,Universal,Absent,6 types,Monophasic,Absent,1073.123919505,1015.3336469417,m2,8026.4263022361,μ4,1.000653098,1.0005546603,204.8390136983,132.7209216158
10,Absent,Type specific,Absent,6 types,Monophasic,Absent,1092.8517645681,1026.1052278131,m2,2539.0393858523,σ2,1.0248665416,1.0033738982,215.6105945697,152.4487666789
11,Absent,Universal,Absent,3 types,Monophasic,Absent,1100.5245831523,1077.7380034184,σ,6226.4265723367,μ,1.0036499975,1.000646713,267.243370175,160.1215852631
12,Absent,Type specific,Absent,3 types,Monophasic,Absent,1117.4462419829,1086.2623290067,m,19866.2417564277,m,1.0049508087,1.0002836539,275.7676957633,177.0432440937
13,Absent,Universal,Absent,6 types,Biphasic,Absent,1105.0811959964,982.3408091299,μ2,2795.5318435677,m5,1.0287512031,1.0048495022,171.8461758865,164.6781981072
14,Absent,Type specific,Absent,6 types,Biphasic,Absent,1116.7136866641,989.3679686757,σ2,657.435837776,σ2,1.4218763698,1.0331213316,178.8733354323,176.3106887749
15,Absent,Universal,Absent,3 types,Biphasic,Absent,1095.9721408139,1062.7229353725,dp1,669.5062576638,μ1,1.100529448,1.0185413287,252.2283021291,155.5691429247
16,Absent,Type specific,Absent,3 types,Biphasic,Absent,1091.7639459702,1040.9013294925,ts1,695.1015560029,m,1.0450150799,1.003778443,230.4066962491,151.360948081
17,Absent,Universal,Present,6 types,Monophasic,Present,963.5646061461,894.9582570264,m2,7776.6990164677,m3,1.0159578703,1.0005418793,84.463623783,23.1616082569
