names,id,values,type,exposure,strain,order,fixed,steps,lower_bound,upper_bound
lower_bound,all,0,all,NA,NA,NA,1,0.1,-1000,0
S,all,0.79,all,NA,NA,NA,1,0.1,0,1
EA,all,0.2,all,NA,NA,NA,1,0.1,0,1
MAX_TITRE,all,15,all,NA,NA,NA,1,0.1,0,100
mu,G1E1SA,1.2,all,A,A,NA,1,0.1,0,20
tp,G1E1SA,49.3,all,A,A,NA,1,0.1,0,100
dp,G1E1SA,0.838,all,A,A,NA,1,0.1,0,1
ts,G1E1SA,80.9,all,A,A,NA,1,0.1,0,100
m,G1E1SA,-0.52,all,A,A,NA,1,0.1,0,1
beta,all,-20,all,NA,NA,NA,1,0.1,-20,2
c,all,4,all,NA,NA,NA,1,0.1,0,20
sigma,all,-Inf,all,NA,NA,NA,1,0.1,-20,2
y0_mod,all,1,all,NA,NA,NA,1,0.1,-20,2
x,NA,0,all,A,A,NA,1,0.1,0,10000
x,NA,0,all,A,B,NA,1,0.1,0,10000
x,NA,0,all,A,C,NA,1,0.1,0,10000
x,NA,0,all,A,D,NA,1,0.1,0,10000
x,NA,0,all,A,E,NA,1,0.1,0,10000
x,NA,0,all,B,C,NA,1,0.1,0,10000
x,NA,0,all,B,D,NA,1,0.1,0,10000
x,NA,0,all,B,E,NA,1,0.1,0,10000
x,NA,0,all,C,D,NA,1,0.1,0,10000
x,NA,0,all,C,E,NA,1,0.1,0,10000
x,NA,0,all,D,E,NA,1,0.1,0,10000
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
mod,NA,1,all,NA,NA,NA,1,0.1,0,1
