names,id,values,type,exposure,strain,order,fixed,steps,lower_bound,upper_bound
lower_bound,all,0,all,NA,NA,NA,1,0.1,-1000,0
S,all,0.79,all,NA,NA,NA,1,0.1,0,1
EA,all,0.2,all,NA,NA,NA,1,0.1,0,1
MAX_TITRE,all,15,all,NA,NA,NA,1,0.1,0,15
mu,A1B,3,vacc,B,all,NA,1,0.1,0,20
tp,A1B,12,vacc,B,all,NA,1,0.1,0,100
dp,A1B,0.5,vacc,B,all,NA,1,0.1,0,1
ts,A1B,10,vacc,B,all,NA,1,0.1,0,20
m,A1B,0.002,vacc,B,all,NA,1,0.1,0,1
mu,A1D,8,vacc,D,all,NA,1,0.1,0,20
tp,A1D,12,vacc,D,all,NA,1,0.1,0,100
dp,A1D,0.3,vacc,D,all,NA,1,0.1,0,1
ts,A1D,10,vacc,D,all,NA,1,0.1,0,20
m,A1D,0.003,vacc,D,all,NA,1,0.1,0,1
mu,A2C,6,vacc,D,all,NA,1,0.1,0,20
tp,A2C,12,vacc,D,all,NA,1,0.1,0,100
dp,A2C,0.3,vacc,D,all,NA,1,0.1,0,1
ts,A2C,10,vacc,D,all,NA,1,0.1,0,20
m,A2C,0.003,vacc,D,all,NA,1,0.1,0,1
mu,A2D,0,vacc,D,all,NA,1,0.1,0,20
tp,A2D,12,vacc,D,all,NA,1,0.1,0,100
dp,A2D,0.3,vacc,D,all,NA,1,0.1,0,1
ts,A2D,10,vacc,D,all,NA,1,0.1,0,20
m,A2D,0.003,vacc,D,all,NA,1,0.1,0,1
mu,A3E,8,infection,D,all,NA,1,0.1,0,20
tp,A3E,12,infection,D,all,NA,1,0.1,0,100
dp,A3E,0.3,infection,D,all,NA,1,0.1,0,1
ts,A3E,10,infection,D,all,NA,1,0.1,0,20
m,A3E,0.003,infection,D,all,NA,1,0.1,0,1
beta,all,-20,all,NA,NA,NA,1,0.1,-20,2
c,all,4,all,NA,NA,NA,1,0.1,0,20
sigma,all,-3,all,NA,NA,NA,1,0.1,-20,2
y0_mod,all,-20,all,NA,NA,NA,1,0.1,-20,2
x,NA,0,all,A,A,NA,1,0.1,0,2000
x,NA,50,all,A,B,NA,1,0.1,0,2000
x,NA,60,all,A,C,NA,1,0.1,0,2000
x,NA,1000,all,A,D,NA,1,0.1,0,2000
x,NA,1000,all,A,E,NA,1,0.1,0,2000
x,NA,0,all,B,B,NA,1,0.1,0,2000
x,NA,10,all,B,C,NA,1,0.1,0,2000
x,NA,1000,all,B,D,NA,1,0.1,0,2000
x,NA,1000,all,B,E,NA,1,0.1,0,2000
x,NA,0,all,C,C,NA,1,0.1,0,2000
x,NA,1000,all,C,D,NA,1,0.1,0,2000
x,NA,1000,all,C,E,NA,1,0.1,0,2000
x,NA,0,all,D,D,NA,1,0.1,0,2000
x,NA,100,all,D,E,NA,1,0.1,0,2000
x,NA,0,all,E,E,NA,1,0.1,0,2000
mod,NA,1,all,NA,NA,1,1,0.1,0,1
mod,NA,1,all,NA,NA,2,1,0.1,0,1
mod,NA,1,all,NA,NA,3,1,0.1,0,1
mod,NA,1,all,NA,NA,4,1,0.1,0,1
