names,id,values,type,exposure,strain,order,fixed,steps,lower_bound,upper_bound
lower_bound,all,0,all,NA,NA,NA,1,0.1,-1000,0
S,all,0.79,all,NA,NA,NA,1,0.1,0,1
EA,all,0.2,all,NA,NA,NA,1,0.1,0,1
MAX_TITRE,all,15,all,NA,NA,NA,1,0.1,0,15
mu,NA,8,infection1,A,all,NA,1,0.1,0,20
tp,NA,12,infection1,A,all,NA,1,0.1,0,100
dp,NA,0.5,infection1,A,all,NA,1,0.1,0,1
ts,NA,10,infection1,A,all,NA,1,0.1,0,20
m,NA,0.003,infection1,A,all,NA,1,0.1,0,1
mu,A1A,5,adj1,B,all,NA,1,0.1,0,20
tp,A1A,12,adj1,B,all,NA,1,0.1,0,100
dp,A1A,0.5,adj1,B,all,NA,1,0.1,0,1
ts,A1A,10,adj1,B,all,NA,1,0.1,0,20
m,A1A,0.002,adj1,B,all,NA,1,0.1,0,1
mu,A2A,8,adj2,C,all,NA,1,0.1,0,20
tp,A2A,12,adj2,C,all,NA,1,0.1,0,100
dp,A2A,0.3,adj2,C,all,NA,1,0.1,0,1
ts,A2A,10,adj2,C,all,NA,1,0.1,0,20
m,A2A,0.003,adj2,C,all,NA,1,0.1,0,1
mu,A1A,3,vacc1,B,all,NA,1,0.1,0,20
tp,A1A,12,vacc1,B,all,NA,1,0.1,0,100
dp,A1A,0.5,vacc1,B,all,NA,1,0.1,0,1
ts,A1A,10,vacc1,B,all,NA,1,0.1,0,20
m,A1A,0.007,vacc1,B,all,NA,1,0.1,0,1
mu,A2A,5,vacc2,C,all,NA,1,0.1,0,20
tp,A2A,12,vacc2,C,all,NA,1,0.1,0,100
dp,A2A,0.3,vacc2,C,all,NA,1,0.1,0,1
ts,A2A,10,vacc2,C,all,NA,1,0.1,0,20
m,A2A,0.006,vacc2,C,all,NA,1,0.1,0,1
mu,A3A,1,infection2,E,all,NA,1,0.1,0,20
tp,A3A,12,infection2,E,all,NA,1,0.1,0,100
dp,A3A,0.3,infection2,E,all,NA,1,0.1,0,1
ts,A3A,10,infection2,E,all,NA,1,0.1,0,20
m,A3A,0.003,infection2,E,all,NA,1,0.1,0,1
beta,all,-8,all,NA,all,NA,1,0.1,-20,2
c,all,4,all,NA,all,NA,1,0.1,0,20
sigma,all,-3,infection1,NA,NA,NA,1,0.1,-20,2
sigma,all,-3,adj1,NA,NA,NA,1,0.1,-20,2
sigma,all,-4,adj2,NA,NA,NA,1,0.1,-20,2
sigma,all,0,vacc1,NA,NA,NA,1,0.1,-20,2
sigma,all,-2,vacc2,NA,NA,NA,1,0.1,-20,2
sigma,all,-5,infection2,NA,NA,NA,1,0.1,-20,2
y0_mod,all,-3,all,NA,all,NA,1,0.1,-20,2
x,NA,0,NA,A,A,NA,1,0.1,0,2000
x,NA,50,NA,A,B,NA,1,0.1,0,2000
x,NA,60,NA,A,C,NA,1,0.1,0,2000
x,NA,1000,NA,A,D,NA,1,0.1,0,2000
x,NA,1000,NA,A,E,NA,1,0.1,0,2000
x,NA,0,NA,B,B,NA,1,0.1,0,2000
x,NA,10,NA,B,C,NA,1,0.1,0,2000
x,NA,1000,NA,B,D,NA,1,0.1,0,2000
x,NA,1000,NA,B,E,NA,1,0.1,0,2000
x,NA,0,NA,C,C,NA,1,0.1,0,2000
x,NA,1000,NA,C,D,NA,1,0.1,0,2000
x,NA,1000,NA,C,E,NA,1,0.1,0,2000
x,NA,0,NA,D,D,NA,1,0.1,0,2000
x,NA,200,NA,D,E,NA,1,0.1,0,2000
x,NA,0,NA,E,E,NA,1,0.1,0,2000
mod,NA,1,NA,NA,NA,1,1,0.1,0,1
mod,NA,1,NA,NA,NA,2,1,0.1,0,1
mod,NA,1,NA,NA,NA,3,1,0.1,0,1
mod,NA,1,NA,NA,NA,4,1,0.1,0,1
